"Time","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.030,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.317795,45.782246,83.604156,68.245186,3.925949,14.492157,2.922946,14.739161,4.595932,16.749413,0,3.179035,13.301998,5.201131,12.319442,6.097149,14.915384,6.046042,13.440234,6.174600,12.907619,6.382527,12.461000,6.830968,13.659665,7.897570,13.125724,7.959185,13.865275,0,-0.01763,0.00366,-0.01968,-0.01302,0.00895,-0.01370,0.02930,0.00339,0.00013,0.08429,3.27751
0.031,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.628204,45.872837,83.418037,68.282280,3.919722,14.486739,2.920342,14.735690,4.588754,16.736591,0,3.177886,13.291877,5.200060,12.313288,6.103221,14.901377,6.045211,13.422808,6.171929,12.901135,6.387092,12.450992,6.829371,13.648681,7.897735,13.117887,7.957926,13.861297,0,-0.01980,0.00308,-0.01970,-0.01282,0.00671,-0.01185,0.00099,0.00532,-0.00002,0.09193,3.27759
0.032,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.938614,45.963425,83.231911,68.319382,3.913496,14.481321,2.917738,14.732219,4.581576,16.723770,0,3.176736,13.281755,5.198990,12.307134,6.109293,14.887370,6.044379,13.405380,6.169259,12.894651,6.391657,12.440982,6.827775,13.637696,7.897900,13.110051,7.956668,13.857319,0,-0.01335,0.00259,-0.02049,-0.01365,0.00941,-0.01243,0.00580,0.00220,0.00004,0.12123,3.27759
0.033,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.509781,45.912144,82.997978,68.350777,3.906945,14.476259,2.914632,14.730124,4.576372,16.711676,0,3.175737,13.271722,5.197628,12.299370,6.116005,14.875038,6.046617,13.391959,6.168618,12.885034,6.397866,12.427202,6.825577,13.626664,7.898149,13.102672,7.954910,13.853253,0,-0.02108,0.00265,-0.02227,-0.01718,0.00884,-0.01171,0.00473,0.00291,-0.00002,0.10214,3.27759
0.034,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.335526,45.722359,82.717354,68.376595,3.900078,14.471546,2.911035,14.729370,4.573092,16.700291,0,3.174886,13.261773,5.195979,12.290035,6.123343,14.864343,6.051851,13.382448,6.169959,12.872356,6.405681,12.409741,6.822792,13.615586,7.898479,13.095738,7.952665,13.849103,0,-0.01758,0.00374,-0.01984,-0.01392,0.00829,-0.01240,0.00449,0.00110,0.00004,0.09569,3.27759
0.035,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,165.161270,45.532578,82.436737,68.402420,3.893211,14.466832,2.907438,14.728618,4.569814,16.688906,0,3.174036,13.251824,5.194331,12.280700,6.130679,14.853647,6.057085,13.372937,6.171299,12.859679,6.413496,12.392281,6.820006,13.604508,7.898809,13.088804,7.950420,13.844953,0,-0.01783,0.00298,-0.02059,-0.01364,0.00831,-0.01182,0.00470,0.00172,0.00013,0.11635,3.27732
0.036,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.987015,45.342793,82.156120,68.428246,3.886343,14.462119,2.903841,14.727865,4.566535,16.677523,0,3.173185,13.241876,5.192683,12.271365,6.138016,14.842951,6.062319,13.363426,6.172640,12.847003,6.421311,12.374821,6.817221,13.593431,7.899140,13.081871,7.948176,13.840802,0,-0.01992,0.00341,-0.02000,-0.01229,0.00872,-0.01235,0.00353,0.00259,-0.00002,0.11335,3.27679
0.037,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.961700,45.221947,81.991821,68.455688,3.879681,14.456257,2.899723,14.728535,4.564953,16.666294,0,3.172091,13.231606,5.191569,12.261539,6.144712,14.836558,6.064386,13.351768,6.175547,12.834193,6.427104,12.361002,6.814630,13.583969,7.898293,13.074738,7.945997,13.835838,0,-0.02172,0.00339,-0.02048,-0.01287,0.00875,-0.01242,0.00202,0.00358,0.00004,0.09374,3.27671
0.038,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.081787,45.168407,81.941086,68.484726,3.873217,14.449274,2.895097,14.730592,4.565029,16.655222,0,3.170758,13.221024,5.190977,12.251231,6.150782,14.834368,6.063362,13.338015,6.179982,12.821255,6.430921,12.350739,6.812228,13.576085,7.896297,13.067410,7.943883,13.830082,0,-0.01256,0.00375,-0.02034,-0.01418,0.00951,-0.00854,0.01050,0.00225,0.00002,0.10464,3.27709
0.039,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.201874,45.114868,81.890343,68.513756,3.866754,14.442290,2.890471,14.732650,4.565104,16.644148,0,3.169426,13.210441,5.190385,12.240925,6.156853,14.832176,6.062337,13.324262,6.184417,12.808315,6.434739,12.340477,6.809826,13.568200,7.894302,13.060082,7.941769,13.824325,0,-0.01619,0.00167,-0.02014,-0.00965,0.00728,-0.01359,0.02683,0.00165,0.00017,0.12034,3.27732
0.040,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.321945,45.061329,81.839607,68.542786,3.860291,14.435308,2.885844,14.734707,4.565180,16.633074,0,3.168094,13.199858,5.189793,12.230618,6.162923,14.829985,6.061313,13.310508,6.188852,12.795377,6.438556,12.330215,6.807424,13.560316,7.892306,13.052754,7.939654,13.818567,0,-0.01636,0.00383,-0.02010,-0.01792,0.00831,-0.01017,0.00414,0.00432,0.00026,0.10593,3.27740
0.041,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.298416,45.036751,81.861824,68.551590,3.856655,14.427811,2.880086,14.740758,4.564922,16.621920,0,3.166587,13.189134,5.189117,12.219872,6.168867,14.832937,6.061358,13.298045,6.190797,12.782987,6.439514,12.321321,6.805450,13.552370,7.890766,13.046664,7.937297,13.812249,0,-0.01498,0.00407,-0.02018,-0.00771,0.00964,-0.01234,-0.01672,0.00192,0.00013,0.09829,3.27736
0.042,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.134659,45.040447,81.955261,68.540634,3.855781,14.419812,2.873224,14.750707,4.564339,16.610689,0,3.164909,13.178271,5.188358,12.208699,6.174688,14.840912,6.062448,13.286842,6.190311,12.771132,6.437681,12.313763,6.803894,13.544363,7.889672,13.041783,7.934702,13.805384,0,-0.01826,0.00345,-0.02045,-0.01845,0.00864,-0.01271,-0.00539,0.00283,0.00024,0.10678,3.27721
0.043,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.970917,45.044144,82.048706,68.529686,3.854907,14.411814,2.866361,14.760655,4.563755,16.599457,0,3.163231,13.167409,5.187600,12.197525,6.180509,14.848886,6.063538,13.275640,6.189825,12.759276,6.435847,12.306204,6.802337,13.536357,7.888577,13.036902,7.932107,13.798518,0,-0.01607,0.00250,-0.01972,-0.01392,0.00859,-0.01129,0.00826,0.00312,0.00013,0.11967,3.27705
0.044,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.807159,45.047840,82.142143,68.518730,3.854032,14.403815,2.859499,14.770604,4.563171,16.588226,0,3.161553,13.156547,5.186841,12.186351,6.186330,14.856861,6.064627,13.264437,6.189339,12.747421,6.434013,12.298646,6.800781,13.528350,7.887484,13.032021,7.929512,13.791652,0,-0.02381,0.00254,-0.02049,-0.01531,0.00946,-0.01135,-0.00379,0.00273,0.00013,0.10808,3.27690
0.045,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.671600,45.000782,82.192810,68.483215,3.853190,14.394673,2.851317,14.786247,4.562678,16.576880,0,3.159982,13.145986,5.185886,12.176167,6.189636,14.873984,6.065549,13.253646,6.188988,12.737988,6.433736,12.290258,6.799027,13.519741,7.887032,13.026329,7.926775,13.784081,0,-0.01412,0.00328,-0.02011,-0.01252,0.00898,-0.01326,0.01183,0.00282,0.00002,0.09916,3.27698
0.046,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.563568,44.904167,82.201714,68.423721,3.852378,14.384415,2.841848,14.807450,4.562273,16.565420,0,3.158515,13.135719,5.184738,12.166948,6.190486,14.900039,6.066308,13.243257,6.188768,12.730917,6.434978,12.281061,6.797080,13.510542,7.887208,13.019845,7.923902,13.775821,0,-0.01863,0.00213,-0.02030,-0.00547,0.00893,-0.01328,0.00981,0.00341,0.00015,0.11155,3.27728
