"Time","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","v3 R COP","60 RDS cle","58 R mark","57 rm dwn st","56 rm dwn sw","55 rmp up st","54 rmp up sw","53 Ramp down","52 Ramp up","51 right DS","50 left DS","49 lHL swoff","48 lHL swon","47 rHL swoff","46 rHL swon","45 Memory","44 lFL swon","43 rFL swoff","42 rFL swon","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","36 CoMx (cm)","34a FRx (cm)","34 FRx (cm)","33 FLy (cm)","31 Keyboard","35 FRy (cm)","29 HRx (cm)","v2 L COP","32a FLx (cm)","61 LDS cle","59 L mark","32 FLx (cm)","27 HLx (cm)","30 HRy (cm)","28 HLy (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.030,6.490245,2.174359,6.404964,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,167.265320,33.452793,89.282784,82.272987,11.824128,-9.488775,12.474205,6.872845,0,5.582743,9.458950,0.000000,6.232476,0,0,15.278640,8.073432,4.948961,7.199930,7.963743,12.532038,8.068239,9.440075,8.439219,9.063519,8.817610,8.423713,8.911289,10.155652,10.501706,10.054943,10.442512,11.136695,0,0.00126,0.00060,0.00505,0.00060,0.00057,0.00067,0.00443,0.00223,-1.48260,0.09691,3.27744
0.031,6.489310,2.115621,6.407483,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,168.168045,33.533184,89.304993,81.749611,11.833395,-9.374215,12.464495,6.872461,0,5.583878,9.484331,0.000000,5.717476,0,0,15.284019,8.069726,4.952241,7.200340,7.966204,12.524193,8.075136,9.465958,8.440533,9.078763,8.807728,8.440697,8.917035,10.175752,10.504700,10.057552,10.448257,11.144506,0,0.00126,0.00058,0.00491,0.00058,0.00057,0.00066,0.00474,0.00221,-1.48035,0.09716,3.27782
0.032,6.488097,2.056883,6.410001,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,169.070755,33.613575,89.327194,81.226234,11.842663,-9.259655,12.454784,6.872078,0,5.585013,9.509712,0.000000,5.202477,0,0,15.289397,8.066020,4.955522,7.200751,7.968664,12.516348,8.082033,9.491839,8.441845,9.094007,8.797846,8.457682,8.922780,10.195852,10.507693,10.060162,10.454003,11.152319,0,0.00129,0.00058,0.00490,0.00057,0.00056,0.00066,0.00476,0.00219,-1.48026,0.09732,3.27795
0.033,6.486614,1.998146,6.412519,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,169.973465,33.693966,89.349403,80.702858,11.851930,-9.145095,12.445074,6.871695,0,5.586148,9.535093,0.000000,4.687479,0,0,15.294776,8.062314,4.958802,7.201161,7.971125,12.508504,8.088930,9.517722,8.443157,9.109249,8.787965,8.474666,8.928526,10.215952,10.510687,10.062771,10.459749,11.160131,0,0.00128,0.00058,0.00495,0.00057,0.00057,0.00068,0.00449,0.00218,-1.48205,0.09710,3.27772
0.034,6.484841,1.918702,6.414866,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,170.586227,33.625511,89.482269,80.263672,11.859612,-9.042839,12.435414,6.871272,0,5.587234,9.553745,0.000000,4.177475,0,0,15.299189,8.058350,4.962679,7.201582,7.973504,12.500457,8.090380,9.552897,8.440319,9.129992,8.778387,8.495359,8.934050,10.233352,10.514951,10.066148,10.463720,11.165485,0,0.00126,0.00057,0.00461,0.00057,0.00056,0.00067,0.00431,0.00209,-1.48037,0.09688,3.27746
0.035,6.482786,1.811359,6.416984,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,170.808319,33.356499,89.764236,79.937920,11.865158,-8.957162,12.425823,6.870794,0,5.588253,9.563329,0.000000,3.674203,0,0,15.302297,8.054039,4.967361,7.202017,7.975774,12.492137,8.084489,9.600595,8.431890,9.158141,8.769218,8.521051,8.939276,10.247114,10.520927,10.070560,10.465302,11.167529,0,0.00124,0.00056,0.00419,0.00057,0.00057,0.00068,0.00466,0.00191,-1.47885,0.09720,3.27716
0.036,6.480517,1.704016,6.419101,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,171.030411,33.087490,90.046211,79.612160,11.870704,-8.871486,12.416233,6.870316,0,5.589273,9.572912,0.000000,3.170932,0,0,15.305406,8.049728,4.972044,7.202453,7.978044,12.483818,8.078598,9.648292,8.423459,9.186292,8.760051,8.546742,8.944502,10.260876,10.526903,10.074972,10.466882,11.169573,0,0.00110,0.00057,0.00383,0.00056,0.00056,0.00069,0.00469,0.00187,-1.47960,0.09733,3.27711
0.037,6.478040,1.596673,6.421218,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,171.252502,32.818478,90.328178,79.286407,11.876250,-8.785809,12.406642,6.869838,0,5.590292,9.582497,0.000000,2.667660,0,0,15.308515,8.045418,4.976726,7.202888,7.980314,12.475498,8.072707,9.695989,8.415029,9.214442,8.750882,8.572434,8.949728,10.274638,10.532879,10.079385,10.468463,11.171617,0,0.00107,0.00056,0.00382,0.00056,0.00057,0.00068,0.00429,0.00194,-1.47956,0.09709,3.27741
0.038,6.475451,1.482852,6.423103,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,171.472610,32.513844,90.510994,78.931931,11.882117,-8.729630,12.397061,6.869533,0,5.591199,9.615355,0.000000,2.163220,0,0,15.310226,8.040883,4.981132,7.203425,7.981227,12.465268,8.074447,9.731827,8.409902,9.241091,8.740067,8.589615,8.954939,10.286261,10.537276,10.083196,10.471350,11.175385,0,0.00105,0.00057,0.00358,0.00055,0.00059,0.00069,0.00454,0.00212,-1.47751,0.09701,3.27736
0.039,6.472752,1.360302,6.424677,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,171.690033,32.161205,90.560204,78.538742,11.888417,-8.713200,12.387493,6.869461,0,5.591955,9.679576,0.000000,1.657206,0,0,15.310057,8.036045,4.985163,7.204101,7.980313,12.452463,8.086467,9.751687,8.409225,9.265716,8.727031,8.595326,8.960128,10.295002,10.539546,10.086196,10.475999,11.181479,0,0.00122,0.00058,0.00347,0.00055,0.00060,0.00070,0.00454,0.00207,-1.48090,0.09724,3.27683
0.040,6.470023,1.237753,6.426250,0.000000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,171.907471,31.808565,90.609413,78.145561,11.894717,-8.696769,12.377926,6.869390,0,5.592711,9.743796,0.000000,1.151192,0,0,15.309887,8.031207,4.989194,7.204776,7.979400,12.439658,8.098488,9.771547,8.408547,9.290340,8.713996,8.601039,8.965316,10.303742,10.541815,10.089196,10.480647,11.187572,0,0.00130,0.00058,0.00353,0.00055,0.00063,0.00071,0.00481,0.00220,-1.48015,0.09733,3.27677
0.041,6.467266,1.115203,6.427824,0.000000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,172.124893,31.455927,90.658623,77.752373,11.901017,-8.680338,12.368358,6.869318,0,5.593467,9.808018,0.000000,0.645179,0,0,15.309717,8.026369,4.993226,7.205451,7.978486,12.426853,8.110508,9.791408,8.407870,9.314966,8.700960,8.606750,8.970505,10.312483,10.544085,10.092196,10.485295,11.193666,0,0.00137,0.00059,0.00366,0.00055,0.00062,0.00069,0.00453,0.00203,-1.48322,0.09726,3.27739
