"Time","60 right DS","59 left DS","37a CoMy (cm)","37 CoMy (cm)","v1 xCoM","v3 L COP","v2 R COP","3 Platform"
0.149,1,1,-0.504607,5.148235,5.114765,5.829980,3.821212,1.48331
0.150,1,1,-0.593716,5.147889,5.110291,5.829971,3.820314,1.48356
0.151,1,1,-0.679060,5.147108,5.105400,5.827914,3.822839,1.48392
0.152,1,1,-0.763162,5.146183,5.100370,5.825450,3.826045,1.48766
0.153,1,1,-0.847264,5.145258,5.095341,5.822495,3.830201,1.48394
0.154,1,1,-0.931367,5.144333,5.090312,5.819442,3.834548,1.48214
0.155,1,1,-1.019163,5.143341,5.084953,5.817852,3.836706,1.48240
0.156,1,1,-1.108178,5.142325,5.079484,5.816553,3.838429,1.48142
0.157,1,1,-1.197192,5.141310,5.074016,5.815737,3.838694,1.48026
0.158,1,1,-1.286207,5.140294,5.068548,5.815017,3.838667,1.48326
0.159,1,1,-1.383941,5.138877,5.062811,5.813446,3.838769,1.48331
0.160,1,1,-1.484551,5.137327,5.056986,5.811706,3.838896,1.48344
0.161,1,1,-1.585161,5.135777,5.051162,5.809934,3.839670,1.48325
0.162,1,1,-1.685771,5.134227,5.045337,5.808155,3.840572,1.48300
0.163,1,1,-1.790317,5.132617,5.039360,5.807380,3.842289,1.48326
0.164,1,1,-1.896160,5.130989,5.033332,5.806804,3.844167,1.48381
0.165,1,1,-2.002003,5.129360,5.027305,5.806483,3.846794,1.48341
0.166,1,1,-2.107846,5.127731,5.021277,5.806212,3.849569,1.48408
0.167,1,1,-2.220102,5.125410,5.015145,5.805075,3.852715,1.48285
0.168,1,1,-2.334473,5.122860,5.008978,5.803765,3.855934,1.48458
0.169,1,1,-2.448845,5.120310,5.002810,5.801064,3.858025,1.48331
0.170,1,1,-2.563216,5.117761,4.996644,5.798086,3.859891,1.48510
0.171,1,1,-2.664966,5.114919,4.990415,5.793676,3.859631,1.48249
0.172,1,1,-2.762554,5.111982,4.984166,5.788982,3.858948,1.48270
0.173,1,1,-2.860142,5.109045,4.977917,5.784249,3.858846,1.48286
0.174,1,1,-2.957729,5.106107,4.971668,5.779507,3.858860,1.48466
0.175,1,1,-3.044223,5.103060,4.965439,5.775997,3.861962,1.48336
0.176,1,1,-3.127059,5.099977,4.959217,5.772732,3.865679,1.48360
0.177,1,1,-3.209894,5.096893,4.952994,5.769604,3.869349,1.48346
0.178,1,1,-3.292730,5.093810,4.946772,5.766503,3.873009,1.48407
0.179,1,1,-3.360225,5.090291,4.940643,5.762151,3.873144,1.48412
0.180,1,1,-3.422661,5.086627,4.934545,5.757549,3.872577,1.48220
0.181,1,1,-3.485097,5.082964,4.928447,5.752004,3.870673,1.48352
0.182,1,1,-3.547533,5.079301,4.922349,5.746270,3.868502,1.48227
0.183,1,1,-3.597015,5.075635,4.916531,5.740451,3.867634,1.48452
0.184,1,1,-3.642225,5.071970,4.910804,5.734614,3.867026,1.48478
0.185,1,1,-3.687435,5.068303,4.905078,5.729865,3.865178,1.48633
0.186,1,1,-3.732645,5.064637,4.899351,5.725333,3.863083,1.48498
0.187,1,1,-3.776445,5.060898,4.893973,5.722657,3.857215,1.48306
0.188,1,1,-3.819780,5.057136,4.888710,5.720352,3.850595,1.48597
0.189,1,1,-3.863115,5.053373,4.883447,5.718444,3.844347,1.48423
0.190,1,1,-3.906450,5.049610,4.878184,5.716615,3.838172,1.48370
0.191,1,1,-3.937639,5.045565,4.873428,5.713557,3.836856,1.48356
0.192,1,1,-3.964821,5.041426,4.868838,5.710254,3.836508,1.48708
0.193,1,1,-3.992003,5.037288,4.864249,5.706182,3.838530,1.48317
0.194,1,1,-4.019185,5.033149,4.859660,5.701956,3.841023,1.48397
0.195,1,1,-4.035726,5.029150,4.855548,5.697924,3.842226,1.48382
0.196,1,1,-4.048757,5.025198,4.851594,5.693930,3.843171,1.48392
0.197,1,1,-4.061788,5.021245,4.847641,5.690696,3.842801,1.48463
0.198,1,1,-4.074819,5.017292,4.843687,5.687612,3.842168,1.48417
0.199,1,1,-4.068401,5.013002,4.840202,3.315579,3.841021,1.48332
0.200,1,0,-4.055568,5.008600,4.836872,0.472029,3.839772,1.47719
0.201,1,0,-4.042736,5.004199,4.833542,0.000000,3.837912,1.48474
0.202,1,0,-4.029903,4.999797,4.830212,0.000000,3.835931,1.48781
0.203,1,0,-3.996481,4.995666,4.827373,0.000000,3.833293,1.48481
0.204,1,0,-3.956267,4.991623,4.824697,0.000000,3.830526,1.48469
0.205,1,0,-3.916054,4.987581,4.822020,0.000000,3.828444,1.48235
0.206,1,0,-3.875841,4.983538,4.819343,0.000000,3.826499,1.48334
0.207,1,0,-3.829253,4.979716,4.817091,0.000000,3.826465,1.48402
0.208,1,0,-3.780564,4.975967,4.814979,0.000000,3.826812,1.48527
0.209,1,0,-3.731874,4.972219,4.812867,0.000000,3.827997,1.48305
0.210,1,0,-3.683185,4.968470,4.810755,0.000000,3.829349,1.48316
0.211,1,0,-3.623357,4.964948,4.809074,0.000000,3.830009,1.48623
0.212,1,0,-3.559855,4.961502,4.807535,0.000000,3.830530,1.48473
0.213,1,0,-3.496354,4.958055,4.805996,0.000000,3.829682,1.48309
0.214,1,0,-3.432853,4.954608,4.804458,0.000000,3.828561,1.48163
0.215,1,0,-3.370989,4.951221,4.803343,0.000000,3.825758,1.48388
0.216,1,0,-3.309666,4.947855,4.802368,0.000000,3.822619,1.48347
0.217,1,0,-3.248343,4.944487,4.801393,0.000000,3.818037,1.48113
0.218,1,0,-3.187020,4.941120,4.800417,0.000000,3.813167,1.48321
0.219,1,0,-3.121074,4.937844,4.799808,0.000000,3.807710,1.48445
0.220,1,0,-3.053604,4.934598,4.799320,0.000000,3.802136,1.48402
0.221,1,0,-2.986134,4.931352,4.798831,0.000000,3.798915,1.48092
0.222,1,0,-2.918664,4.928106,4.798342,0.000000,3.796162,1.48259
0.223,1,0,-2.851338,4.925397,4.798167,0.000000,3.798035,1.48159
0.224,1,0,-2.784059,4.922865,4.798095,0.000000,3.800829,1.48412
0.225,1,0,-2.716780,4.920333,4.798022,0.000000,3.804837,1.48246
0.226,1,0,-2.649502,4.917802,4.797950,0.000000,3.809088,1.48376
0.227,1,0,-2.585323,4.915281,4.798057,0.000000,3.810668,1.48360
0.228,1,0,-2.522167,4.912765,4.798222,0.000000,3.811718,1.48625
0.229,1,0,-2.459011,4.910248,4.798388,0.000000,3.811341,1.48225
0.230,1,0,-2.395855,4.907731,4.798553,0.000000,3.810680,1.48477
0.231,1,0,-2.335185,4.905396,4.798764,0.000000,3.810704,1.48312
0.232,1,0,-2.275334,4.903120,4.798989,0.000000,3.810863,1.48304
0.233,1,0,-2.215484,4.900845,4.799214,0.000000,3.811187,1.48357
0.234,1,0,-2.155633,4.898569,4.799439,0.000000,3.811543,1.48387
0.235,1,0,-2.095247,4.896472,4.799615,0.000000,3.811080,1.48362
0.236,1,0,-2.034683,4.894434,4.799775,0.000000,3.810455,1.48246
0.237,1,0,-1.974120,4.892396,4.799935,0.000000,3.809306,1.48321
0.238,1,0,-1.913557,4.890358,4.800095,0.000000,3.808053,1.48309
0.239,1,0,-1.856815,4.888499,4.800157,0.000000,3.806547,1.48427
0.240,1,0,-1.801333,4.886699,4.800188,0.000000,3.804992,1.48296
0.241,1,0,-1.745851,4.884900,4.800219,0.000000,3.801722,1.48331
0.242,1,0,-1.690369,4.883100,4.800249,0.000000,3.798112,1.48199
0.243,1,0,-1.638588,4.881462,4.800168,0.000000,3.791881,1.48444
0.244,1,0,-1.588029,4.879879,4.800048,0.000000,3.785130,1.48426
0.245,1,0,-1.537469,4.878294,4.799930,0.000000,3.779591,1.48291
0.246,1,0,-1.486909,4.876711,4.799811,0.000000,3.774294,1.48388
0.247,1,0,-1.450475,4.875541,4.799549,0.000000,3.773725,1.48324
0.248,1,0,-1.418698,4.874507,4.799240,0.000000,3.774096,1.48223
0.249,1,0,-1.386921,4.873474,4.798930,0.000000,3.775214,1.48428
0.250,1,0,-1.355144,4.872441,4.798621,0.000000,3.776482,1.48578
0.251,1,0,-1.335481,4.871019,4.798288,0.000000,3.773932,1.48535
