"Time","66 RDS cle","64 R marks","63 sinus","62 Ramp down","61 Ramp up","60 right DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 simus rmp","49 St rmp dw","48 Sw rmp dw","47 St rmp up","46 Sw rmp up","45 Sw offset","44 Sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","67 LDS cle","v2 R COP","v3 L COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","65 L marks","59 left DS","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.124512,49.170643,84.309990,55.429485,0,0.000000,0.000000,4.310854,-3.436529,4.493278,13.558860,3.871317,14.515804,4.841755,11.862832,0,0,15.217900,0,3.837595,5.419136,10.411848,7.636819,14.704293,7.664301,12.026113,7.771924,11.377369,8.024051,10.819914,8.644462,12.165350,9.840305,11.473348,9.776057,12.339337,0,-0.01784,0.00204,-0.01960,-0.01450,0.00734,-0.01230,0.00575,0.00406,-0.91078,0.11299,3.27700
0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.113419,49.216248,84.077377,55.333107,0,0.000000,0.000000,4.312010,-3.260944,4.490484,13.545266,3.872381,14.504693,4.835214,11.852676,0,0,15.142743,0,3.838712,5.421193,10.403214,7.636755,14.694499,7.668372,12.015345,7.771571,11.368668,8.021558,10.811297,8.647882,12.153751,9.833775,11.448528,9.781370,12.314767,0,-0.01876,0.00280,-0.01982,-0.01358,0.00041,-0.01243,0.00061,0.00231,-0.87414,0.11792,3.27746
0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.144455,49.212746,84.462219,55.783409,0,0.000000,0.000000,4.313441,-3.119492,4.487419,13.529268,3.873598,14.493458,4.831913,11.842416,0,0,15.067498,0,3.839814,5.423379,10.394406,7.636671,14.683841,7.671908,12.004898,7.771750,11.359693,8.019051,10.802463,8.652053,12.142262,9.830260,11.426208,9.785324,12.292654,0,-0.01546,0.00367,-0.01918,-0.01378,0.00693,-0.01183,0.01009,0.00260,-0.84912,0.11835,3.27759
0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.239227,49.134964,85.780998,57.060608,0,0.000000,0.000000,4.315172,-3.029667,4.483942,13.509633,3.875048,14.482035,4.833513,11.831999,0,0,14.992121,0,3.840896,5.425762,10.385334,7.636556,14.671876,7.674636,11.994939,7.772737,11.350306,8.016522,10.793297,8.657360,12.130938,9.831306,11.407671,9.787220,12.274258,0,-0.02027,0.00406,-0.02094,-0.01336,0.00979,-0.01293,0.00321,-0.00002,-0.82974,0.09703,3.27721
0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.334000,49.057182,87.099777,58.337807,0,0.000000,0.000000,4.317205,-2.939843,4.480464,13.489998,3.876498,14.470611,4.835112,11.821581,0,0,14.916742,0,3.841978,5.428145,10.376262,7.636441,14.659911,7.677363,11.984979,7.773724,11.340919,8.013995,10.784131,8.662667,12.119615,9.832353,11.389132,9.789117,12.255860,0,-0.01784,0.00329,-0.01942,-0.01343,0.00725,-0.01136,0.00278,0.00436,-0.80792,0.10953,3.27716
0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.428772,48.979401,88.418549,59.615005,0,0.000000,0.000000,4.319568,-2.850019,4.476987,13.470363,3.877948,14.459187,4.836711,11.811164,0,0,14.841365,0,3.843060,5.430528,10.367190,7.636325,14.647946,7.680091,11.975019,7.774711,11.331532,8.011467,10.774966,8.667974,12.108291,9.833399,11.370595,9.791014,12.237464,0,-0.01695,0.00356,-0.02132,-0.01334,0.00818,-0.01176,0.00293,0.00179,-0.78444,0.09752,3.27761
0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.814713,47.566624,88.538689,61.906532,0,0.000000,0.000000,4.322231,-2.790026,4.473996,13.451673,3.879476,14.447882,4.838488,11.800699,0,0,14.765852,0,3.844207,5.432936,10.358391,7.636122,14.636950,7.682081,11.966540,7.775167,11.323928,8.009526,10.766794,8.656370,12.070678,9.833180,11.350705,9.792042,12.218599,0,-0.01770,0.00264,-0.02121,-0.01426,0.01490,-0.01252,0.00692,0.00383,-0.76545,0.09896,3.27775
0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.128510,44.134583,86.845802,65.732307,0,0.000000,0.000000,4.325222,-2.775155,4.471741,13.434414,3.881122,14.436755,4.840534,11.790162,0,0,14.690134,0,3.845451,5.435381,10.350005,7.635784,14.627422,7.682956,11.960303,7.774822,11.319021,8.008474,10.760127,8.619187,11.993302,9.831050,11.328771,9.791756,12.199028,0,-0.01846,0.00258,-0.01989,-0.01379,0.05765,-0.01318,0.01407,0.00256,-0.74140,0.12143,3.27736
0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.442307,40.702541,85.152916,69.558075,0,0.000000,0.000000,4.328504,-2.760283,4.469486,13.417155,3.882769,14.425630,4.842579,11.779626,0,0,14.614417,0,3.846695,5.437826,10.341619,7.635447,14.617893,7.683832,11.954066,7.774477,11.314116,8.007423,10.753460,8.582005,11.915926,9.828918,11.306837,9.791470,12.179457,0,-0.01681,0.00323,-0.01991,-0.01379,0.00779,-0.01287,0.00813,0.00286,-0.70215,0.11158,3.27728
0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.756088,37.270504,83.460037,73.383850,0,0.000000,0.000000,4.332103,-2.745412,4.467231,13.399897,3.884415,14.414503,4.844625,11.769089,0,0,14.538699,0,3.847940,5.440270,10.333234,7.635108,14.608364,7.684707,11.947829,7.774132,11.309210,8.006371,10.746793,8.544822,11.838551,9.826788,11.284903,9.791183,12.159884,0,-0.01710,0.00269,-0.02104,-0.01353,0.00711,-0.01206,0.00305,0.00425,-0.67090,0.10049,3.27766
