"Time","66 RDS cle","64 R marks","63 sinus","62 Ramp down","61 Ramp up","60 right DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 simus rmp","49 St rmp dw","48 Sw rmp dw","47 St rmp up","46 Sw rmp up","45 Sw offset","44 Sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","67 LDS cle","v2 R COP","v3 L COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","65 L marks","59 left DS","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.354111,65.896973,102.747604,115.155220,0,0.000000,0.000000,5.529912,0.025113,5.567688,14.938506,4.888764,17.830709,6.224038,11.412441,0,0,16.092863,0,4.853027,6.564647,12.705685,8.049743,18.149708,7.623477,11.563792,7.928404,11.162749,8.590791,11.020575,8.244328,12.472581,9.502295,13.075664,9.482569,13.953511,0,-0.01271,0.00251,-0.02107,-0.01195,0.00945,-0.01295,0.00502,0.00317,-1.47883,0.09628,3.27763
0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.220245,66.616982,103.016533,115.582718,0,0.000000,0.000000,5.539753,0.267290,5.569336,14.944034,4.886635,17.840521,6.222895,11.403294,0,0,16.080933,0,4.852869,6.567005,12.718688,8.039577,18.167700,7.620094,11.547604,7.934079,11.151223,8.596471,11.018564,8.247988,12.469619,9.503412,13.081853,9.483622,13.959420,0,-0.02611,0.00438,-0.01828,-0.01509,0.00869,-0.01216,0.00342,0.00176,-1.47780,0.09788,3.27742
0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.086380,67.336990,103.285461,116.010208,0,0.000000,0.000000,5.549664,0.509466,5.570984,14.949562,4.884506,17.850334,6.221752,11.394146,0,0,16.069000,0,4.852711,6.569363,12.731690,8.029411,18.185690,7.616712,11.531415,7.939754,11.139697,8.602152,11.016555,8.251649,12.466658,9.504529,13.088042,9.484674,13.965330,0,-0.01529,0.00351,-0.02172,-0.01209,0.00826,-0.01293,0.00565,0.00080,-1.47879,0.11968,3.27703
0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.742706,68.095825,103.521149,116.427086,0,0.000000,0.000000,5.559525,0.692053,5.572297,14.954046,4.882223,17.859350,6.220528,11.384855,0,0,16.056980,0,4.852492,6.571977,12.744725,8.020668,18.202414,7.615553,11.516595,7.944397,11.127577,8.607035,11.013927,8.254410,12.464025,9.504226,13.093430,9.485500,13.970431,0,-0.01665,0.00417,-0.02043,-0.01309,0.00899,-0.01309,0.00483,-0.00079,-1.47805,0.09448,3.27693
0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.154709,68.899872,103.718124,116.831596,0,0.000000,0.000000,5.569343,0.805250,5.573220,14.957315,4.879760,17.867439,6.219207,11.375397,0,0,16.044855,0,4.852201,6.574888,12.757799,8.013583,18.217657,7.616983,11.503368,7.947837,11.114765,8.610990,11.010582,8.256123,12.461776,9.502269,13.097884,9.486063,13.974589,0,-0.01776,0.00204,-0.02123,-0.01321,0.01049,-0.01125,0.00607,0.00296,-1.47777,0.09343,3.27716
0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.566711,69.703918,103.915092,117.236099,0,0.000000,0.000000,5.578981,0.918447,5.574143,14.960585,4.877297,17.875528,6.217887,11.365937,0,0,16.032732,0,4.851911,6.577800,12.770872,8.006497,18.232903,7.618413,11.490141,7.951278,11.101953,8.614944,11.007236,8.257835,12.459526,9.500312,13.102339,9.486625,13.978748,0,-0.01519,0.00420,-0.01997,-0.01490,0.00926,-0.01215,0.00493,0.00250,-1.47740,0.12296,3.27742
0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.978729,70.507957,104.112068,117.640610,0,0.000000,0.000000,5.588468,1.031643,5.575066,14.963855,4.874835,17.883617,6.216567,11.356479,0,0,16.020607,0,4.851621,6.580712,12.783946,7.999412,18.248148,7.619844,11.476914,7.954718,11.089141,8.618898,11.003890,8.259549,12.457277,9.498355,13.106793,9.487187,13.982907,0,-0.02206,0.00323,-0.02142,-0.01343,0.00123,-0.01243,0.00573,0.00331,-1.47809,0.10411,3.27773
0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.314392,71.366486,104.317719,118.040627,0,0.000000,0.000000,5.597729,1.141175,5.575570,14.967865,4.872379,17.890926,6.215319,11.346956,0,0,16.008442,0,4.851423,6.583691,12.797399,7.991728,18.264864,7.621857,11.463322,7.958933,11.076891,8.622427,11.001967,8.261060,12.455317,9.496782,13.110815,9.487674,13.986781,0,-0.01694,0.00371,-0.02047,-0.01474,0.00584,-0.01299,0.00392,0.00178,-1.47829,0.11104,3.27772
0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.561172,72.288460,104.533470,118.435432,0,0.000000,0.000000,5.606798,1.246440,5.575585,14.972739,4.869930,17.897327,6.214157,11.337359,0,0,15.996230,0,4.851331,6.586749,12.811294,7.983348,18.283295,7.624548,11.449303,7.964049,11.065295,8.625460,11.001702,8.262336,12.453693,9.495657,13.114331,9.488071,13.990323,0,-0.00475,0.00266,-0.02064,-0.01469,0.00384,-0.01180,0.00293,0.00161,-1.47912,0.11765,3.27734
0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.807953,73.210434,104.749229,118.830231,0,0.000000,0.000000,5.615622,1.351704,5.575602,14.977613,4.867481,17.903727,6.212994,11.327762,0,0,15.984017,0,4.851240,6.589807,12.825188,7.974969,18.301725,7.627240,11.435285,7.969165,11.053700,8.628492,11.001437,8.263612,12.452070,9.494532,13.117848,9.488469,13.993865,0,-0.02186,0.00309,-0.01986,-0.01343,0.00794,-0.01141,0.00604,0.00198,-1.47888,0.10585,3.27716
0.040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.054733,74.132408,104.964981,119.225037,0,0.000000,0.000000,5.624238,1.456968,5.575618,14.982488,4.865033,17.910128,6.211831,11.318165,0,0,15.971806,0,4.851149,6.592865,12.839083,7.966589,18.320154,7.629931,11.421266,7.974281,11.042105,8.631524,11.001172,8.264888,12.450447,9.493407,13.121365,9.488867,13.997408,0,-0.01897,0.00374,-0.01963,-0.01354,0.00805,-0.01141,0.00580,0.00224,-1.47751,0.11498,3.27724
