"Time","v3 L COP","v1 xCoM","37a CoMy (cm)","v2 R COP","66 RDS cle","64 Rmark cle","34 FRx (cm)","29 HRx (cm)","67 LDS cle","33 FLy (cm)","65 Lmark cle","32 FLx (cm)","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.112,0.000000,6.351995,7.861146,5.219585,1,0,17.640715,11.885435,1,6.944623,0,17.066702,4.703784,7.021245,13.796800,0.00015,0.06740,3.27704
0.113,0.000000,6.360230,7.873315,5.219233,1,0,17.629679,11.876319,1,6.963113,0,17.105549,4.703805,7.021012,13.785473,0.00013,0.11458,3.27687
0.114,0.000000,6.367631,7.838685,5.218963,1,0,17.618614,11.867419,1,6.982410,0,17.148266,4.704539,7.020937,13.774568,-0.00002,0.11663,3.27634
0.115,0.000000,6.374640,7.804055,5.218760,1,0,17.607552,11.858519,1,7.001708,0,17.190985,4.705273,7.020863,13.763663,0.00012,0.10216,3.27605
0.116,0.000000,6.380678,7.769424,5.218725,1,0,17.596487,11.849618,1,7.021006,0,17.233702,4.706007,7.020788,13.752759,0.00013,0.09094,3.27673
0.117,0.000000,6.386277,7.724607,5.218786,1,0,17.585510,11.840707,1,7.040197,0,17.277164,4.706851,7.020756,13.741746,0.00005,0.07032,3.27724
0.118,0.000000,6.390790,7.640525,5.219081,1,0,17.574867,11.831755,1,7.058978,0,17.323500,4.708119,7.020893,13.730314,-0.00013,0.10648,3.27701
0.119,0.000000,6.394948,7.556443,5.219430,1,0,17.564226,11.822802,1,7.077759,0,17.369835,4.709388,7.021029,13.718883,0.00015,0.10993,3.27676
0.120,0.000000,6.398231,7.472361,5.219913,1,0,17.553585,11.813849,1,7.096540,0,17.416170,4.710656,7.021166,13.707451,-0.00012,0.10112,3.27646
0.121,0.000000,6.401278,7.383257,5.220397,1,0,17.542879,11.804952,1,7.115035,0,17.462845,4.711988,7.021331,13.695922,0.00002,0.08608,3.27621
0.122,0.000000,6.403741,7.274802,5.220884,1,0,17.531923,11.796265,1,7.132423,0,17.510826,4.713568,7.021606,13.684017,-0.00002,0.06515,3.27621
0.123,0.000000,6.406065,7.166346,5.221357,1,0,17.520967,11.787579,1,7.149811,0,17.558805,4.715147,7.021881,13.672112,0.00000,0.10879,3.27635
0.124,0.000000,6.408046,7.057890,5.221798,1,0,17.510012,11.778893,1,7.167199,0,17.606787,4.716727,7.022156,13.660207,0.00025,0.10599,3.27704
0.125,0.000000,6.409976,6.951176,5.222229,1,0,17.499044,11.770106,1,7.180283,0,17.644932,4.718280,7.022301,13.648097,0.00012,0.09427,3.27748
0.126,0.000000,6.411780,6.851171,5.222635,1,0,17.488033,11.760936,1,7.176777,0,17.645170,4.719732,7.021943,13.635201,0.00000,0.09460,3.27695
0.127,0.000000,6.413609,6.751167,5.223067,1,0,17.477022,11.751765,1,7.173272,0,17.645411,4.721184,7.021585,13.622306,0.00037,0.06885,3.27672
0.128,0.000000,6.415498,6.651163,5.223565,1,0,17.466011,11.742594,1,7.169766,0,17.645649,4.722636,7.021228,13.609410,0.00027,0.09487,3.27771
0.129,0.000000,6.417466,6.553941,5.224116,1,0,17.455147,11.733386,1,7.166498,0,17.646559,4.724141,7.020932,13.596552,-0.00013,0.11080,3.27838
0.130,0.000000,6.419628,6.467442,5.224803,1,0,17.444849,11.724033,1,7.164144,0,17.650053,4.725850,7.020873,13.583837,-0.00013,0.10136,3.27777
0.131,0.000000,6.421842,6.380943,5.225495,1,0,17.434551,11.714682,1,7.161790,0,17.653545,4.727559,7.020813,13.571121,0.00000,0.08197,3.27728
0.132,0.000000,6.424189,6.294445,5.226202,1,0,17.424253,11.705329,1,7.159437,0,17.657040,4.729268,7.020754,13.558406,-0.00012,0.07317,3.27728
0.133,0.000000,6.426554,6.210059,5.226865,1,0,17.413851,11.695992,1,7.157231,0,17.660744,4.730978,7.020681,13.545634,0.00004,0.07488,3.27727
0.134,0.000000,6.428967,6.133817,5.227419,1,0,17.403042,11.686717,1,7.155595,0,17.665266,4.732691,7.020553,13.532646,-0.00025,0.09879,3.27719
0.135,0.000000,6.431427,6.057575,5.227973,1,0,17.392233,11.677441,1,7.153958,0,17.669788,4.734405,7.020425,13.519659,0.00002,0.09286,3.27715
0.136,0.000000,6.433999,5.981333,5.228526,1,0,17.381424,11.668165,1,7.152322,0,17.674311,4.736117,7.020298,13.506672,0.00002,0.09738,3.27722
0.137,0.000000,6.436627,5.905151,5.229135,1,0,17.370678,11.658920,1,7.150793,0,17.679155,4.737902,7.020087,13.493732,-0.00012,0.07580,3.27716
