"Time","67 LDS cle","65 L mark","64 R mark","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","v3 L COP","v2 R COP","37 CoMy (cm)","v1 xCoM","36 CoMx (cm)","35 FRy (cm)","32 FLx (cm)","27 HLx (cm)","66 RDS cle","34 FRx (cm)","33 FLy (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.030,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.947647,44.039883,80.016945,87.540817,-2.143252,0.000000,3.013644,4.136856,4.045124,16.332933,2.619138,17.089504,14.277783,1,18.243587,4.625653,0,3.408238,14.500820,4.651948,6.038564,18.898643,6.116211,14.847510,6.221079,14.300979,6.777115,13.910797,6.542257,15.170407,7.748033,15.181315,7.705917,15.962162,0,-0.01660,0.00317,-0.01944,-0.01382,0.00847,-0.01013,0.00877,0.00632,1.48434,0.09184,3.27762
0.031,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.228043,43.782375,79.987442,87.545784,-2.161359,0.000000,3.012429,4.134760,4.042382,16.328531,2.616471,17.079042,14.319413,1,18.229342,4.626335,0,3.408659,14.490884,4.653013,6.036573,18.887085,6.116485,14.842039,6.221492,14.291195,6.776222,13.900243,6.539720,15.159277,7.745219,15.172895,7.703147,15.953625,0,-0.01756,0.00308,-0.01923,-0.01477,0.00832,-0.01218,0.00346,0.00034,1.48380,0.07256,3.27786
0.032,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.544708,43.522362,79.927765,87.481911,-2.184090,0.000000,3.011230,4.132635,4.039568,16.323923,2.614133,17.068468,14.361086,1,18.214767,4.627120,0,3.408949,14.480983,4.654316,6.035809,18.875288,6.116971,14.839324,6.222538,14.281644,6.775407,13.890891,6.537216,15.148543,7.742293,15.164442,7.699128,15.945315,0,-0.01703,0.00296,-0.01930,-0.01337,0.00900,-0.01163,0.00323,0.00293,1.48454,0.10958,3.27802
0.033,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.861359,43.262344,79.868095,87.418037,-2.206822,0.000000,3.010319,4.130510,4.036285,16.319313,2.611795,17.057894,14.402758,1,18.200193,4.627905,0,3.409239,14.471082,4.655621,6.035046,18.863489,6.117457,14.836609,6.223585,14.272092,6.774593,13.881540,6.534712,15.137809,7.739366,15.155989,7.695109,15.937006,0,-0.01730,0.00330,-0.01974,-0.01373,0.00832,-0.01285,0.00511,0.00320,1.48363,0.12076,3.27768
0.034,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.178009,43.002331,79.808418,87.354172,-2.229554,0.000000,3.009444,4.128386,4.032944,16.314703,2.609458,17.047319,14.444430,1,18.185619,4.628691,0,3.409529,14.461182,4.656924,6.034282,18.851692,6.117943,14.833894,6.224631,14.262541,6.773779,13.872189,6.532208,15.127075,7.736439,15.147535,7.691090,15.928697,0,-0.01573,0.00269,-0.01981,-0.01315,0.00778,-0.01123,0.00549,0.00165,1.48605,0.10087,3.27722
0.035,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.561844,42.840973,79.776779,87.265457,-2.262422,0.000000,3.009046,4.126130,4.029307,16.314466,2.608456,17.037428,14.485525,1,18.173927,4.629327,0,3.409931,14.451255,4.658172,6.033736,18.839525,6.120057,14.818654,6.229390,14.251986,6.775395,13.861567,6.530276,15.116082,7.734202,15.137555,7.686380,15.920927,0,-0.02028,0.00259,-0.01901,-0.01376,0.00862,-0.01218,0.00630,0.00278,1.48431,0.09463,3.27689
0.036,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.961456,42.702755,79.751724,87.170921,-2.297668,0.000000,3.008708,4.123843,4.025633,16.315256,2.607767,17.027697,14.526484,1,18.162910,4.629929,0,3.410358,14.441323,4.659405,6.033240,18.827271,6.122553,14.800477,6.235020,14.241195,6.777582,13.850648,6.528478,15.105028,7.732127,15.127217,7.681508,15.913284,0,-0.01833,0.00339,-0.02042,-0.01416,0.00847,-0.01202,-0.00024,0.00150,1.48421,0.10635,3.27658
0.037,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.361053,42.564541,79.726662,87.076385,-2.332915,0.000000,3.008712,4.121557,4.021757,16.316046,2.607079,17.017965,14.567444,1,18.151896,4.630530,0,3.410786,14.431392,4.660639,6.032745,18.815016,6.125049,14.782300,6.240649,14.230404,6.779768,13.839729,6.526680,15.093975,7.730051,15.116879,7.676637,15.905642,0,-0.01640,0.00336,-0.02014,-0.01282,0.00816,-0.01361,0.00377,0.00391,1.48451,0.10482,3.27689
0.038,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.760651,42.426323,79.701599,86.981850,-2.368161,0.000000,3.008759,4.119270,4.017856,16.316835,2.606390,17.008232,14.608404,1,18.140879,4.631132,0,3.411213,14.421460,4.661873,6.032249,18.802761,6.127544,14.764123,6.246279,14.219613,6.781955,13.828810,6.524881,15.082921,7.727976,15.106542,7.671765,15.897999,0,-0.01851,0.00363,-0.01971,-0.01489,0.00801,-0.01273,0.00520,0.00339,1.48264,0.08587,3.27734
0.039,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.925369,42.434441,79.808006,86.987045,-2.406227,0.000000,3.008947,4.116841,4.013818,16.312603,2.606752,16.998758,14.650289,1,18.130148,4.631067,0,3.411180,14.411588,4.663194,6.031808,18.790058,6.129025,14.748863,6.249539,14.205854,6.780266,13.818178,6.523583,15.074033,7.726340,15.097956,7.669019,15.890957,0,-0.01956,0.00284,-0.02052,-0.01279,0.00839,-0.01108,0.00517,0.00308,1.48540,0.09915,3.27695
