"Time","59 lHL swoff","58 lHL swon","57 rHL swoff","56 rHL swon","55 lFL swoff","54 lFL swon","53 rFL swoff","52 rFL swon","v1 xCoM","37a CoMy (cm)","v2 R COP","66 RDS cle","64 Rmark cle","34 FRx (cm)","29 HRx (cm)","v3 L COP","67 LDS cle","33 FLy (cm)","65 Lmark cle","32 FLx (cm)","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch","63 Ramp down","62 Ramp up","61 right DS","60 left DS","51 CoM peak","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","31 Keyboard","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM"
0.030,0,0,0,0,0,0,0,0,6.592538,-1.187704,0.000000,0,0,14.119071,10.431241,7.185364,1,6.906951,0,16.500587,5.339795,7.464224,10.256582,1.48351,0.11896,3.27749,0,0,0,1,0,0,0,0,0,0,0,0,0,0,176.897232,34.644909,79.662666,82.772118,6.648767,13.425134,5.826962,0,9.011995,14.124002,9.529362,10.083123,9.931881,9.860796,10.455755,9.640988,9.767352,10.886182,10.989151,11.295350,10.655152,12.022193,0,-0.01768,0.00391,-0.02226,-0.01303,0.00818,-0.01196,0.02335,0.01681
0.031,0,0,0,0,0,0,0,0,6.598786,-1.017480,0.000000,0,0,14.108191,10.474297,7.185261,1,6.907382,0,16.497747,5.343342,7.463695,10.247441,1.48493,0.10459,3.27748,0,0,0,1,0,0,0,0,0,0,0,0,0,0,177.775482,33.143173,79.788155,82.199104,6.647329,13.426270,5.826405,0,9.017639,14.130006,9.522596,10.125656,9.935057,9.897275,10.449471,9.651431,9.769213,10.899804,10.993249,11.298749,10.659502,12.025313,0,-0.01741,0.00283,-0.01861,-0.01326,0.01471,-0.01213,-0.00804,-0.00060
0.032,0,0,0,0,0,0,0,0,6.605941,-0.847257,0.000000,0,0,14.097312,10.517351,7.185366,1,6.907812,0,16.494909,5.346890,7.463166,10.238300,1.48567,0.07956,3.27763,0,0,0,1,0,0,0,0,0,0,0,0,0,0,178.653717,31.641439,79.913635,81.626083,6.645893,13.427405,5.825847,0,9.023283,14.136010,9.515830,10.168188,9.938232,9.933754,10.443189,9.661875,9.771072,10.913427,10.997346,11.302148,10.663852,12.028435,0,-0.01889,0.00355,-0.02162,-0.01368,0.00764,-0.01257,0.02273,-0.00520
0.033,0,0,0,0,0,0,0,0,6.613658,-0.666951,0.000000,0,0,14.086572,10.560068,7.185583,1,6.908510,0,16.491690,5.350956,7.462639,10.229091,1.48396,0.08237,3.27761,0,0,0,1,0,0,0,0,0,0,0,0,0,0,179.021149,30.256002,79.971184,80.921700,6.644785,13.428632,5.825333,0,9.026428,14.138561,9.509525,10.207139,9.939340,9.963397,10.434590,9.670357,9.772609,10.928002,11.001639,11.307104,10.667801,12.031463,0,-0.01711,0.00342,-0.01931,-0.01268,0.00730,-0.01299,-0.00825,-0.00622
0.034,0,0,0,0,0,0,0,0,6.622284,-0.463118,0.000000,0,0,14.076156,10.601996,7.185979,1,6.909834,0,16.487579,5.356232,7.462119,10.219718,1.48383,0.10854,3.27715,0,0,0,1,0,0,0,0,0,0,0,0,0,0,178.196671,29.141926,79.870216,79.910782,6.644446,13.430070,5.824917,0,9.023743,14.133055,9.504297,10.237734,9.935621,9.977089,10.420591,9.674265,9.773392,10.944800,11.006387,11.315695,10.670813,12.034271,0,-0.01709,0.00267,-0.01766,-0.01418,0.00707,-0.01130,-0.00555,0.01407
0.035,0,0,0,0,0,0,0,0,6.631277,-0.259285,0.000000,0,0,14.065741,10.643925,7.186379,1,6.911159,0,16.483471,5.361508,7.461598,10.210345,1.47371,0.10712,3.27703,0,0,0,1,0,0,0,0,0,0,0,0,0,0,177.372192,28.027847,79.769249,78.899864,6.644107,13.431508,5.824502,0,9.021059,14.127548,9.499069,10.268329,9.931903,9.990782,10.406592,9.678173,9.774175,10.961597,11.011135,11.324286,10.673825,12.037081,0,-0.01770,0.00264,-0.01934,-0.01316,0.00876,-0.01271,-0.00732,-0.00969
0.036,0,0,0,0,0,0,0,0,6.640860,-0.055452,0.000000,0,0,14.055326,10.685853,7.186787,1,6.912484,0,16.479362,5.366784,7.461077,10.200973,1.48467,0.09712,3.27771,0,0,0,1,0,0,0,0,0,0,0,0,0,0,176.547699,26.913771,79.668282,77.888947,6.643769,13.432946,5.824086,0,9.018373,14.122042,9.493841,10.298923,9.928185,10.004474,10.392592,9.682081,9.774958,10.978395,11.015883,11.332876,10.676837,12.039889,0,-0.01740,0.00368,-0.02037,-0.01389,0.00816,-0.01233,-0.00988,0.00526
0.037,0,0,0,0,0,0,0,0,6.650599,0.150462,0.000000,0,0,14.044890,10.727127,7.187098,1,6.913695,0,16.474558,5.372249,7.460482,10.191520,1.48509,0.10891,3.27793,0,0,0,1,0,0,0,0,0,0,0,0,0,0,175.788345,25.898205,79.418442,76.720901,6.643652,13.434331,5.823639,0,9.017094,14.116988,9.488002,10.333710,9.923064,10.025019,10.377227,9.688823,9.774492,11.000470,11.020284,11.339677,10.680516,12.042712,0,-0.01727,0.00263,-0.01883,-0.01315,0.00837,-0.01241,0.00796,0.00277
0.038,0,0,0,0,0,0,0,0,6.660593,0.361232,0.000000,0,0,14.034408,10.766878,7.187254,1,6.914644,0,16.468130,5.378155,7.459713,10.181880,1.48404,0.11357,3.27702,0,0,0,1,0,0,0,0,0,0,0,0,0,0,175.180923,25.112499,78.821236,75.186226,6.644054,13.435592,5.823118,0,9.019088,14.112991,9.480740,10.378277,9.914670,10.061554,10.358673,9.702176,9.771113,11.034859,11.023872,11.342301,10.685753,12.045567,0,-0.01738,0.00759,-0.01986,-0.01435,0.00687,-0.01245,0.04785,-0.00698
0.039,0,0,0,0,0,0,0,0,6.670736,0.572001,0.000000,0,0,14.023926,10.806628,7.187363,1,6.915592,0,16.461700,5.384062,7.458943,10.172240,1.48482,0.08594,3.27650,0,0,0,1,0,0,0,0,0,0,0,0,0,0,174.573517,24.326794,78.224030,73.651558,6.644456,13.436853,5.822598,0,9.021083,14.108995,9.473476,10.422843,9.906277,10.098088,10.340119,9.715529,9.767735,11.069248,11.027460,11.344925,10.690989,12.048421,0,-0.01781,0.00316,-0.02486,-0.01299,0.00953,-0.01282,-0.01705,0.00805
