"Time","3 Chan 3","2 Chan 2","1 Chan 1"
0.400,0.021514,0.010685,0.001306
0.401,0.021555,0.011159,0.001220
0.402,0.021456,0.011421,0.001167
0.403,0.021421,0.011645,0.001121
0.404,0.021256,0.011661,0.001126
0.405,0.021259,0.011841,0.001038
0.406,0.021473,0.012302,0.000887
0.407,0.021864,0.013046,0.000718
0.408,0.022103,0.013599,0.000581
0.409,0.022290,0.013952,0.000499
0.410,0.021803,0.013705,0.000558
0.411,0.021349,0.013152,0.000592
0.412,0.021265,0.012549,0.000711
0.413,0.021250,0.011704,0.000953
0.414,0.021902,0.011035,0.001123
0.415,0.022436,0.010372,0.001241
0.416,0.022810,0.009767,0.001303
0.417,0.022794,0.009360,0.001367
0.418,0.022684,0.008892,0.001429
0.419,0.022771,0.008669,0.001430
0.420,0.022761,0.008439,0.001481
0.421,0.022516,0.008084,0.001564
0.422,0.022012,0.007426,0.001657
0.423,0.021856,0.006820,0.001715
0.424,0.021723,0.006237,0.001763
0.425,0.021838,0.005865,0.001767
0.426,0.022028,0.005772,0.001783
0.427,0.021983,0.005885,0.001702
0.428,0.022164,0.006541,0.001479
0.429,0.021800,0.007287,0.001263
0.430,0.021487,0.007989,0.001138
0.431,0.021450,0.008944,0.001041
0.432,0.021745,0.009589,0.000948
0.433,0.022014,0.010185,0.000870
0.434,0.022227,0.010566,0.000843
0.435,0.021925,0.010463,0.000984
0.436,0.021592,0.010309,0.001131
0.437,0.021275,0.010174,0.001269
0.438,0.020938,0.010103,0.001439
0.439,0.020680,0.010021,0.001589
0.440,0.020284,0.009841,0.001775
0.441,0.019702,0.009538,0.001955
0.442,0.019160,0.009098,0.002148
0.443,0.018523,0.008593,0.002328
0.444,0.017983,0.008262,0.002521
0.445,0.017467,0.008072,0.002653
0.446,0.017071,0.007570,0.002773
0.447,0.017124,0.007043,0.003058
0.448,0.017193,0.006415,0.003340
0.449,0.017268,0.005979,0.003598
0.450,0.017441,0.005959,0.003535
0.451,0.017647,0.005863,0.003489
0.452,0.017798,0.005820,0.003443
0.453,0.017664,0.005907,0.003393
0.454,0.017476,0.006204,0.003320
0.455,0.017312,0.006544,0.003213
0.456,0.017285,0.006830,0.003112
0.457,0.017225,0.007101,0.003035
0.458,0.017213,0.007209,0.002989
0.459,0.017103,0.007070,0.002984
0.460,0.017087,0.006738,0.002993
0.461,0.016811,0.006372,0.003075
0.462,0.016535,0.006247,0.002930
0.463,0.016296,0.006329,0.002764
0.464,0.015988,0.006362,0.002557
0.465,0.015989,0.006260,0.002556
0.466,0.015750,0.006210,0.002577
0.467,0.015666,0.006091,0.002595
0.468,0.016028,0.005867,0.002569
0.469,0.016676,0.005659,0.002516
0.470,0.017499,0.005524,0.002424
0.471,0.017988,0.005431,0.002407
0.472,0.018202,0.005318,0.002431
0.473,0.018302,0.005123,0.002484
0.474,0.018954,0.004890,0.002478
0.475,0.019915,0.004613,0.002454
0.476,0.021394,0.004316,0.002330
0.477,0.022204,0.004137,0.002225
0.478,0.023219,0.003915,0.002187
0.479,0.023862,0.003744,0.002228
0.480,0.024457,0.003576,0.002247
0.481,0.025205,0.003444,0.002172
0.482,0.025628,0.003424,0.002102
0.483,0.025518,0.003575,0.002123
0.484,0.025075,0.003753,0.002223
0.485,0.024525,0.003884,0.002394
0.486,0.024323,0.004019,0.002477
0.487,0.024379,0.004146,0.002736
0.488,0.024358,0.004296,0.003828
0.489,0.023963,0.004477,0.005636
0.490,0.022692,0.004852,0.009293
0.491,0.020565,0.005600,0.014957
0.492,0.018882,0.006817,0.019748
0.493,0.017435,0.008376,0.023470
0.494,0.016229,0.010178,0.027939
0.495,0.015366,0.012002,0.031931
0.496,0.014149,0.014317,0.036922
0.497,0.012982,0.016780,0.042151
0.498,0.011808,0.019625,0.048828
0.499,0.010619,0.022514,0.056195
0.500,0.009376,0.025376,0.063350
0.501,0.008146,0.028080,0.068777
0.502,0.006841,0.031208,0.074030
0.503,0.005780,0.033904,0.078985
0.504,0.004810,0.036223,0.083514
0.505,0.004771,0.038830,0.085488
0.506,0.005524,0.040921,0.084626
0.507,0.006156,0.042357,0.084995
0.508,0.005966,0.043350,0.086872
0.509,0.006082,0.043521,0.087874
0.510,0.006285,0.043344,0.087815
0.511,0.006851,0.042524,0.086298
0.512,0.007580,0.040580,0.084592
0.513,0.008503,0.037699,0.081243
0.514,0.009377,0.034508,0.077914
0.515,0.010324,0.031270,0.074426
0.516,0.011252,0.028102,0.072682
0.517,0.012243,0.024544,0.071156
0.518,0.013226,0.021412,0.069700
0.519,0.013697,0.018705,0.069299
0.520,0.013643,0.015594,0.070247
0.521,0.013287,0.012752,0.071499
0.522,0.012984,0.010017,0.072609
0.523,0.013422,0.007424,0.072664
0.524,0.013703,0.005402,0.072948
0.525,0.013502,0.003750,0.074314
0.526,0.013602,0.002163,0.075321
0.527,0.014057,0.001415,0.075442
0.528,0.014310,0.001046,0.077064
0.529,0.014664,0.000804,0.077920
0.530,0.014761,0.000586,0.079611
0.531,0.014845,0.000400,0.080967
0.532,0.014890,0.000272,0.082123
0.533,0.015028,0.000250,0.081583
0.534,0.015268,0.000250,0.079969
0.535,0.015901,0.000264,0.076097
0.536,0.016609,0.000265,0.072197
0.537,0.017306,0.000311,0.068131
0.538,0.017563,0.000423,0.064876
0.539,0.017844,0.000557,0.061232
0.540,0.018212,0.000661,0.057979
0.541,0.018527,0.000734,0.055552
0.542,0.018548,0.000830,0.054503
0.543,0.018673,0.000994,0.052637
0.544,0.018733,0.001122,0.051306
0.545,0.019044,0.001237,0.049603
0.546,0.019398,0.001319,0.048470
0.547,0.019881,0.001375,0.047469
0.548,0.020012,0.001495,0.048369
0.549,0.020430,0.001710,0.048776
0.550,0.020663,0.001916,0.050603
0.551,0.021096,0.002190,0.051367
0.552,0.021678,0.002440,0.051509
0.553,0.022317,0.002659,0.051215
0.554,0.022821,0.002857,0.051329
0.555,0.023546,0.002952,0.050670
0.556,0.024389,0.002910,0.049814
0.557,0.025108,0.002843,0.048497
0.558,0.025714,0.002761,0.046553
0.559,0.026100,0.002645,0.045027
0.560,0.026443,0.002529,0.043464
0.561,0.026891,0.002448,0.041331
0.562,0.027307,0.002392,0.038821
0.563,0.027714,0.002272,0.035272
0.564,0.028093,0.002057,0.031860
0.565,0.028277,0.001837,0.028692
0.566,0.028414,0.001531,0.026433
0.567,0.028966,0.001217,0.024331
0.568,0.029440,0.000885,0.022511
0.569,0.029943,0.000547,0.020947
0.570,0.030277,0.000279,0.020196
0.571,0.030202,0.000159,0.019622
0.572,0.030732,0.000093,0.018916
0.573,0.031375,0.000011,0.018308
0.574,0.031905,0.000000,0.016899
0.575,0.032415,0.000000,0.015370
0.576,0.032865,0.000000,0.013794
0.577,0.033227,0.000000,0.012335
0.578,0.033859,0.000000,0.011018
0.579,0.033951,0.000113,0.009859
0.580,0.034550,0.000113,0.008665
0.581,0.034904,0.000118,0.008140
0.582,0.034967,0.000118,0.007998
0.583,0.035086,0.000133,0.007637
0.584,0.035146,0.000186,0.006854
0.585,0.035233,0.000224,0.006107
0.586,0.035373,0.000269,0.005443
0.587,0.034510,0.000434,0.004875
0.588,0.033475,0.000668,0.004307
0.589,0.032599,0.000964,0.003637
0.590,0.031514,0.001272,0.003051
0.591,0.030319,0.001590,0.002849
0.592,0.029139,0.001896,0.002678
0.593,0.027820,0.002218,0.002565
0.594,0.026956,0.002516,0.002383
0.595,0.025719,0.003071,0.002193
0.596,0.024473,0.003774,0.002088
0.597,0.023393,0.004844,0.001924
0.598,0.022500,0.006101,0.001849
0.599,0.021908,0.007429,0.001769
0.600,0.021113,0.008532,0.001680
0.601,0.020376,0.009688,0.001589
0.602,0.020101,0.010744,0.001467
0.603,0.020035,0.011750,0.001338
0.604,0.020081,0.012414,0.001250
0.605,0.020365,0.013017,0.001118
0.606,0.020484,0.013414,0.001029
0.607,0.020468,0.013734,0.000995
0.608,0.020494,0.013978,0.000988
0.609,0.020677,0.014071,0.000993
0.610,0.020788,0.013985,0.001040
0.611,0.020798,0.013644,0.001091
0.612,0.020537,0.012888,0.001203
0.613,0.020341,0.011884,0.001332
0.614,0.020333,0.010744,0.001449
0.615,0.020443,0.009886,0.001577
0.616,0.020842,0.008924,0.001672
0.617,0.021181,0.007899,0.001806
0.618,0.021386,0.006824,0.001964
0.619,0.021280,0.006053,0.002129
0.620,0.021044,0.005389,0.002267
0.621,0.021247,0.005167,0.002298
0.622,0.021672,0.005026,0.002279
0.623,0.022019,0.005015,0.002224
0.624,0.022082,0.004860,0.002222
0.625,0.022187,0.004806,0.002186
0.626,0.022402,0.004879,0.002170
0.627,0.022519,0.004994,0.002168
0.628,0.022207,0.005118,0.002220
0.629,0.021676,0.005219,0.002266
0.630,0.021149,0.005338,0.002301
0.631,0.020375,0.005464,0.002355
0.632,0.019616,0.005579,0.002383
0.633,0.019161,0.005683,0.002387
