"1 Chan 1","2 Chan 2","3 Chan 3","4 Chan 4"
"0.00737","0.015803","0.095152","0.026050"
"0.00827","0.016917","0.096437","0.023216"
"0.00922","0.018073","0.097594","0.020320"
"0.01021","0.019143","0.098803","0.017482"
"0.01121","0.020117","0.099927","0.014633"
"0.01223","0.020987","0.100678","0.011936"
"0.01330","0.021666","0.101133","0.010286"
"0.01422","0.022146","0.100761","0.009082"
"0.01489","0.022388","0.099483","0.008058"
"0.01536","0.022440","0.097786","0.007125"
"0.01551","0.022103","0.095396","0.006490"
"0.01548","0.021677","0.092390","0.005924"
"0.01555","0.020923","0.088459","0.005343"
"0.01580","0.020144","0.085039","0.004775"
"0.01661","0.019178","0.081834","0.004225"
"0.01808","0.018112","0.079168","0.003693"
"0.02041","0.016943","0.076957","0.003214"
"0.02305","0.015669","0.075039","0.002911"
"0.02608","0.014387","0.072712","0.002783"
"0.02930","0.013166","0.070318","0.002915"
"0.03274","0.011989","0.068117","0.003461"
"0.03662","0.010811","0.065645","0.004831"
"0.04155","0.009697","0.063081","0.006941"
"0.04693","0.008735","0.061120","0.009552"
"0.05234","0.007854","0.059734","0.012272"
"0.05785","0.007129","0.058475","0.015321"
"0.06340","0.006425","0.057294","0.018625"
"0.06870","0.005841","0.056687","0.022325"
"0.07389","0.005299","0.056154","0.026156"
"0.07861","0.004896","0.055726","0.030081"
"0.08270","0.004568","0.054772","0.034361"
"0.08579","0.004330","0.053472","0.039044"
"0.08818","0.004050","0.051751","0.043981"
"0.08985","0.003791","0.049982","0.048987"
"0.09075","0.003536","0.047999","0.054064"
"0.09046","0.003295","0.045359","0.059473"
"0.08895","0.003075","0.042779","0.064335"
"0.08609","0.002893","0.040553","0.068533"
"0.08275","0.002821","0.038271","0.071992"
"0.07926","0.002778","0.035950","0.075038"
"0.07536","0.002725","0.033880","0.077210"
"0.07088","0.002699","0.031998","0.078727"
"0.06558","0.002750","0.030548","0.079306"
"0.05998","0.002832","0.028927","0.079902"
"0.05418","0.002840","0.027614","0.080521"
"0.04840","0.002861","0.026333","0.080495"
"0.04266","0.002922","0.025133","0.079803"
"0.03703","0.003052","0.023889","0.078586"
"0.03154","0.003163","0.022696","0.077264"
"0.02658","0.003281","0.021598","0.075585"
"0.02254","0.003380","0.021417","0.072807"
"0.01927","0.003497","0.021651","0.069484"
"0.01640","0.003649","0.022213","0.065848"
"0.01376","0.003746","0.023012","0.062344"
"0.01125","0.003835","0.023900","0.058727"
"0.00914","0.003937","0.024577","0.055042"
"0.00765","0.004039","0.024840","0.051654"
"0.00694","0.004077","0.024701","0.048812"
"0.00630","0.004054","0.024768","0.045882"
"0.00578","0.004049","0.024546","0.042878"
"0.00525","0.004059","0.024399","0.040018"
"0.00471","0.004077","0.024244","0.037332"
"0.00435","0.004068","0.024279","0.034703"
"0.00422","0.004097","0.024383","0.031468"
"0.00419","0.004161","0.024409","0.028160"
"0.00417","0.004229","0.024411","0.025162"
"0.00418","0.004285","0.024265","0.022460"
"0.00422","0.004302","0.023993","0.019999"
"0.00426","0.004324","0.023784","0.017476"
"0.00441","0.004368","0.023980","0.015314"
"0.00462","0.004553","0.024622","0.013708"
"0.00482","0.004800","0.025837","0.012180"
"0.00507","0.005141","0.027241","0.010716"
"0.00532","0.005654","0.028802","0.009210"
"0.00556","0.006256","0.030433","0.007720"
"0.00582","0.006880","0.032112","0.006425"
"0.00612","0.007550","0.033936","0.005222"
"0.00647","0.008243","0.035780","0.004162"
"0.00681","0.008939","0.037721","0.003629"
"0.00710","0.009641","0.039960","0.003224"
"0.00741","0.010346","0.042310","0.002852"
"0.00771","0.011039","0.044722","0.002495"
"0.00801","0.011751","0.047151","0.002143"
"0.00832","0.012459","0.049523","0.001877"
"0.00852","0.013132","0.051530","0.001625"
"0.00866","0.013663","0.053423","0.001430"
"0.00904","0.014239","0.055699","0.001321"
"0.00974","0.014905","0.058556","0.001176"
"0.01086","0.015501","0.061578","0.001074"
"0.01195","0.015985","0.064286","0.001022"
"0.01302","0.016324","0.066690","0.001167"
"0.01409","0.016563","0.068648","0.001468"
"0.01516","0.016680","0.070443","0.001818"
"0.01628","0.016677","0.072010","0.002230"
"0.01740","0.016633","0.073477","0.002654"
"0.01855","0.016591","0.074809","0.003086"
"0.01967","0.016550","0.076079","0.003531"
