"1 Chan 1","2 Chan 2","3 Chan 3","4 Chan 4","5 Chan 5","6 Chan 6","7 Chan 7"
"0.006401","0.007794","0.003195","0.084095","0.032796","0.0058767","0.005437"
"0.005879","0.007929","0.003331","0.079268","0.032927","0.0060815","0.005615"
"0.005123","0.008398","0.003529","0.074305","0.032954","0.0063000","0.005892"
"0.004460","0.009103","0.003674","0.067900","0.032935","0.0065603","0.006121"
"0.003958","0.010129","0.003745","0.060968","0.033359","0.0067540","0.005930"
"0.003272","0.011077","0.003881","0.053841","0.033427","0.0070182","0.006416"
"0.002224","0.012071","0.004069","0.047217","0.033027","0.0073300","0.007196"
"0.001301","0.013019","0.004179","0.039840","0.032512","0.0077679","0.008035"
"0.000752","0.014020","0.004252","0.032479","0.032126","0.0081233","0.008794"
"0.000712","0.015057","0.004231","0.026671","0.031665","0.0084129","0.009623"
"0.001044","0.016141","0.004132","0.021136","0.031246","0.0086833","0.010206"
"0.001342","0.017023","0.004106","0.017416","0.030893","0.0088878","0.010537"
"0.001653","0.017660","0.004010","0.014717","0.029742","0.0093113","0.010831"
"0.002031","0.018286","0.003861","0.011964","0.028356","0.0097535","0.011008"
"0.002373","0.018699","0.003704","0.009180","0.027114","0.0102412","0.010897"
"0.002726","0.019128","0.003592","0.006706","0.026400","0.0106049","0.010749"
"0.003052","0.019401","0.003452","0.005553","0.025696","0.0109681","0.010575"
"0.003052","0.019311","0.003344","0.005131","0.024692","0.0113246","0.010658"
"0.003052","0.018709","0.003303","0.004660","0.023792","0.0115212","0.010944"
"0.003085","0.018076","0.003320","0.004009","0.022791","0.0116905","0.011386"
"0.003085","0.017583","0.003302","0.003764","0.022262","0.0118095","0.011198"
"0.003180","0.017025","0.003349","0.003724","0.022176","0.0119619","0.010406"
"0.003468","0.016488","0.003387","0.003670","0.023446","0.0119185","0.009478"
"0.003766","0.015653","0.003348","0.003643","0.024978","0.0118918","0.008592"
"0.003817","0.014646","0.003388","0.004043","0.026018","0.0118656","0.007740"
"0.003491","0.013458","0.003519","0.004620","0.027413","0.0117004","0.007612"
"0.003361","0.012407","0.003520","0.004725","0.027711","0.0116430","0.007744"
"0.003210","0.011553","0.003574","0.004756","0.028236","0.0114731","0.007964"
"0.003028","0.010684","0.003617","0.004756","0.029362","0.0112433","0.008199"
"0.003096","0.009894","0.003517","0.004756","0.030353","0.0110655","0.008112"
"0.003216","0.009191","0.003406","0.004756","0.031091","0.0109081","0.007798"
"0.003358","0.008619","0.003315","0.004756","0.031593","0.0107302","0.007447"
"0.003796","0.008000","0.003133","0.004278","0.031636","0.0107429","0.006827"
"0.004120","0.007778","0.002996","0.004151","0.032383","0.0107743","0.005960"
"0.004601","0.007265","0.002898","0.003588","0.034295","0.0106487","0.005311"
"0.005126","0.006523","0.002827","0.002853","0.035623","0.0105614","0.004827"
"0.005244","0.005954","0.002831","0.002572","0.036135","0.0104412","0.004820"
"0.004951","0.005371","0.002912","0.002797","0.034931","0.0104441","0.004995"
"0.004537","0.005163","0.002946","0.003183","0.032644","0.0106312","0.005203"
"0.004366","0.005396","0.002909","0.003107","0.030845","0.0107881","0.005460"
"0.004460","0.006211","0.002773","0.003077","0.029221","0.0110314","0.005050"
"0.004301","0.007095","0.002781","0.003725","0.028706","0.0111740","0.004346"
"0.004141","0.007891","0.002749","0.004443","0.027932","0.0113475","0.003615"
"0.003945","0.008253","0.002740","0.005287","0.026648","0.0115664","0.002923"
"0.003535","0.008197","0.002799","0.005989","0.025101","0.0118012","0.002862"
"0.003062","0.008037","0.002863","0.006677","0.023355","0.0121902","0.002974"
"0.002810","0.008232","0.002832","0.006869","0.021897","0.0125126","0.003344"
"0.002495","0.008791","0.002895","0.007185","0.021186","0.0126801","0.003668"
"0.002497","0.009229","0.002831","0.006837","0.019746","0.0129151","0.004225"
"0.001990","0.009990","0.002742","0.007397","0.017220","0.0132431","0.004837"
"0.001465","0.010384","0.002696","0.008100","0.014877","0.0136908","0.005248"
"0.001366","0.010487","0.002537","0.008029","0.012962","0.0141228","0.005612"
"0.001680","0.010780","0.002329","0.007485","0.011843","0.0145556","0.005775"
"0.001988","0.010660","0.002222","0.006974","0.011554","0.0148588","0.005843"
"0.002206","0.010338","0.002123","0.006650","0.011244","0.0150861","0.005830"
"0.002593","0.009429","0.001950","0.006103","0.010382","0.0154327","0.005832"
"0.003051","0.008466","0.001791","0.005350","0.009411","0.0156841","0.005894"
"0.003513","0.007911","0.001697","0.004601","0.008538","0.0159111","0.005880"
"0.004014","0.008022","0.001774","0.003757","0.007625","0.0161477","0.005894"
"0.004459","0.009205","0.002266","0.003054","0.007322","0.0161780","0.005791"
"0.004844","0.010615","0.003226","0.002595","0.007077","0.0161126","0.005616"
"0.004892","0.011525","0.004487","0.002814","0.006772","0.0160014","0.005257"
"0.005031","0.012945","0.006235","0.002935","0.006312","0.0158076","0.004870"
"0.004705","0.014365","0.007996","0.003878","0.005990","0.0155506","0.004446"
"0.004784","0.016256","0.009139","0.004001","0.005824","0.0153920","0.004072"
"0.005103","0.018837","0.009897","0.003510","0.005695","0.0152174","0.003970"
"0.005411","0.020444","0.009937","0.003045","0.005770","0.0150864","0.003957"
"0.005017","0.021626","0.009997","0.003860","0.005461","0.0149884","0.003985"
"0.004825","0.022152","0.010796","0.004429","0.005143","0.0147940","0.003987"
"0.004532","0.022927","0.012025","0.005308","0.004788","0.0146463","0.003862"
"0.004462","0.024560","0.013755","0.005781","0.004486","0.0143955","0.003595"
"0.004594","0.026275","0.015487","0.005781","0.004607","0.0143222","0.003209"
