"1 Chan 1","2 Chan 2","3 Chan 3","4 Chan 4"
0.016965,"0.055491","0.003283","0.017651"
0.016610,"0.053505","0.003223","0.017960"
0.016225,"0.051293","0.003182","0.018277"
0.015841,"0.049064","0.003111","0.018591"
0.015437,"0.046841","0.003042","0.018796"
0.015040,"0.044715","0.002983","0.018944"
0.014619,"0.042572","0.002936","0.019051"
0.014192,"0.040362","0.002857","0.019181"
0.013774,"0.038625","0.002777","0.019270"
0.013390,"0.037150","0.002680","0.019345"
0.012913,"0.035523","0.002613","0.019319"
0.012409,"0.033896","0.002556","0.019243"
0.011919,"0.032174","0.002492","0.019174"
0.011418,"0.030425","0.002433","0.019065"
0.010958,"0.028706","0.002392","0.018845"
0.010492,"0.027116","0.002376","0.018497"
0.010196,"0.026014","0.002347","0.018114"
0.009904,"0.025260","0.002372","0.017699"
0.009636,"0.025487","0.002421","0.017184"
0.009435,"0.026200","0.002484","0.016556"
0.009263,"0.026701","0.002515","0.016068"
0.009128,"0.027114","0.002525","0.015701"
0.009021,"0.027460","0.002550","0.015434"
0.008922,"0.027407","0.002564","0.015272"
0.008851,"0.027068","0.002556","0.015226"
0.008850,"0.026629","0.002544","0.015523"
0.008856,"0.026617","0.002566","0.015795"
0.008911,"0.026393","0.002580","0.016106"
0.008976,"0.025944","0.002611","0.016424"
0.009102,"0.025881","0.002623","0.016812"
0.009231,"0.025817","0.002628","0.017163"
0.009317,"0.026068","0.002638","0.017265"
0.009435,"0.026090","0.002642","0.017423"
0.009501,"0.026190","0.002681","0.017651"
0.009605,"0.026486","0.002703","0.017905"
0.009710,"0.026693","0.002716","0.018174"
0.009790,"0.026833","0.002740","0.018284"
0.009820,"0.026447","0.002764","0.018407"
0.009816,"0.026347","0.002793","0.018326"
0.009822,"0.026423","0.002819","0.018138"
0.009784,"0.026622","0.002844","0.017910"
0.009689,"0.026734","0.002894","0.017688"
0.009579,"0.027195","0.002951","0.017607"
0.009458,"0.027958","0.003022","0.017479"
0.009265,"0.028559","0.003086","0.017127"
0.009050,"0.028993","0.003141","0.016688"
0.008766,"0.029223","0.003220","0.016157"
0.008460,"0.029499","0.003298","0.015584"
0.008208,"0.029581","0.003336","0.014930"
0.007983,"0.030035","0.003370","0.014289"
0.007758,"0.030078","0.003408","0.013931"
0.007545,"0.030455","0.003434","0.013591"
0.007437,"0.031365","0.003430","0.013163"
0.007348,"0.032266","0.003417","0.012792"
0.007288,"0.033349","0.003414","0.012448"
0.007236,"0.034063","0.003408","0.012197"
0.007246,"0.035192","0.003395","0.011924"
0.007260,"0.036204","0.003393","0.011774"
0.007243,"0.037047","0.003400","0.011753"
0.007249,"0.038372","0.003421","0.011625"
0.007269,"0.039849","0.003443","0.011425"
0.007331,"0.041317","0.003478","0.011116"
0.007380,"0.042521","0.003509","0.010810"
0.007446,"0.043764","0.003549","0.010424"
0.007514,"0.044460","0.003578","0.010129"
0.007627,"0.044987","0.003611","0.009867"
0.007723,"0.045403","0.003647","0.009642"
0.007760,"0.045714","0.003712","0.009559"
0.007803,"0.045806","0.003816","0.009496"
0.007881,"0.046289","0.003908","0.009428"
0.007935,"0.046644","0.004022","0.009354"
0.007953,"0.046383","0.004116","0.009393"
0.007985,"0.046046","0.004189","0.009444"
0.008016,"0.045598","0.004263","0.009490"
0.008039,"0.045071","0.004293","0.009596"
0.008055,"0.044246","0.004321","0.009703"
0.008079,"0.043214","0.004344","0.009819"
0.008138,"0.042266","0.004380","0.009875"
0.008217,"0.040895","0.004403","0.009997"
0.008624,"0.039316","0.004423","0.010137"
0.009129,"0.037611","0.004423","0.010268"
0.010041,"0.036087","0.004398","0.010329"
0.010977,"0.034683","0.004353","0.010507"
0.011879,"0.033595","0.004321","0.010656"
0.012766,"0.033428","0.004270","0.010759"
0.013334,"0.033444","0.004212","0.010829"
0.013677,"0.033873","0.004166","0.010840"
0.013803,"0.034184","0.004090","0.010887"
0.014273,"0.034059","0.004005","0.010927"
0.015546,"0.033792","0.003879","0.010982"
0.017946,"0.033106","0.003825","0.011069"
0.021014,"0.032112","0.003973","0.011105"
0.024434,"0.030972","0.004274","0.011118"
0.028527,"0.030182","0.004978","0.010905"
0.032432,"0.029896","0.006028","0.010536"
0.036682,"0.029814","0.007090","0.010026"
0.040835,"0.029770","0.008153","0.009479"
0.044536,"0.029862","0.009322","0.008915"
0.047559,"0.029982","0.010573","0.008371"
0.049926,"0.030128","0.011795","0.007895"
