"Time","54 lHL swoff","53 rHL swoff","52 LDS cle","51 RDS cle","50 L marks","49 R marks","48 lHL swon","47 lFL swoff","46 rHL swon","45 rFL swoff","44 miry (cm)","43 mirx (cm)","41 CoMx (cm)","40 FRy (cm)","36 HRy (cm)","39 FRx (cm)","38 FLy (cm)","35 HRx (cm)","35a HRx (cm)","37 FLx (cm)","34 HLy (cm)","33 HLx (cm)","42 CoMy (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 St","9 TA","8 Gs","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch","v3 xCoM","v2 L COP","v1 R COP","42a CoMy (cm)","33a HLx (cm)"
0.300,0,0,0,1,0,0,0,0,0,0,7.522437,0.931964,16.618671,3.702089,4.207053,18.142941,5.328494,14.817019,-9.525841,17.633551,6.509459,14.063705,4.975890,131.179779,0,77.530533,90.748245,66.770355,8.693670,19.036270,8.637527,15.544830,8.624290,14.983547,9.364159,14.305085,10.265730,15.862832,11.660867,15.079515,11.779139,16.189325,0,0.00126,0.00080,0.00071,0.00322,0.00074,0.00067,0.00070,0.00056,-1.48598,0.10153,3.21498,5.240492,0.000000,0.000000,4.963010,20.995535
0.301,0,0,0,1,0,0,0,0,0,0,7.524750,0.933508,16.617428,3.696373,4.206354,18.163538,5.328401,14.807500,-9.490306,17.624474,6.511576,14.084934,4.974066,130.564392,0,77.601311,90.342255,66.728371,8.693069,19.072765,8.639335,15.533382,8.624727,14.971708,9.373693,14.295946,10.264432,15.860084,11.659492,15.076629,11.777122,16.187126,0,0.00126,0.00080,0.00069,0.00321,0.00074,0.00067,0.00072,0.00057,-1.48766,0.10088,3.21475,5.238698,0.000000,0.000000,4.963291,21.289618
0.302,0,0,0,1,0,0,0,0,0,0,7.524013,0.930153,16.617655,3.687014,4.202219,18.183529,5.328325,14.798079,-9.449711,17.615381,6.508351,14.106791,4.972616,129.998138,0,77.665749,90.218742,66.767326,8.688048,19.107870,8.642281,15.517194,8.624928,14.961837,9.377745,14.288756,10.263163,15.855886,11.659188,15.074158,11.776468,16.187304,0,0.00127,0.00081,0.00069,0.00323,0.00071,0.00070,0.00074,0.00057,-1.48727,0.09921,3.21490,5.237196,0.000000,0.000000,4.963374,21.568924
0.303,0,0,0,1,0,0,0,0,0,0,7.523276,0.926798,16.617882,3.677655,4.198084,18.203522,5.328249,14.788658,-9.409115,17.606289,6.505127,14.128647,4.971166,129.431870,0,77.730186,90.095238,66.806282,8.683028,19.142975,8.645226,15.501005,8.625127,14.951965,9.381796,14.281567,10.261893,15.851689,11.658883,15.071687,11.775816,16.187481,0,0.00126,0.00078,0.00071,0.00322,0.00069,0.00068,0.00077,0.00057,-1.48758,0.09780,3.21505,5.235729,0.000000,0.000000,4.963456,21.848232
0.304,0,0,0,1,0,0,0,0,0,0,7.522540,0.923443,16.618107,3.668297,4.193950,18.223513,5.328172,14.779238,-9.368519,17.597195,6.501903,14.150503,4.969716,128.865616,0,77.794617,89.971733,66.845245,8.678008,19.178080,8.648172,15.484817,8.625327,14.942095,9.385848,14.274377,10.260623,15.847493,11.658579,15.069216,11.775163,16.187658,0,0.00127,0.00077,0.00072,0.00321,0.00069,0.00067,0.00075,0.00055,-1.49117,0.09812,3.21520,5.234367,0.000000,0.000000,4.963539,22.127539
0.305,0,0,0,1,0,0,0,0,0,0,7.522604,0.923584,16.618116,3.663471,4.193435,18.243145,5.328194,14.769891,-9.327783,17.588223,6.505428,14.172818,4.968222,128.543732,0,77.805641,89.967094,66.942291,8.676015,19.210163,8.650230,15.473660,8.625817,14.933659,9.388409,14.267650,10.259360,15.842908,11.659130,15.067931,11.775098,16.187597,0,0.00128,0.00079,0.00071,0.00319,0.00067,0.00066,0.00075,0.00054,-1.48735,0.09811,3.21532,5.232981,0.000000,0.000000,4.964105,22.395546
0.306,0,0,0,1,0,0,0,0,0,0,7.523765,0.928515,16.617828,3.664855,4.197880,18.262289,5.328349,14.760646,-9.286854,17.579416,6.518197,14.195761,4.966668,128.556580,0,77.743507,90.125259,67.118912,8.678169,19.238106,8.651074,15.469395,8.626706,14.927189,9.388929,14.261556,10.258107,15.837790,11.660854,15.068272,11.775841,16.187208,0,0.00128,0.00079,0.00070,0.00314,0.00065,0.00065,0.00074,0.00054,-1.48567,0.09707,3.21524,5.231526,0.000000,0.000000,4.965335,22.648077
0.307,0,0,0,1,0,0,0,0,0,0,7.524927,0.933446,16.617540,3.666239,4.202324,18.281431,5.328505,14.751402,-9.245926,17.570608,6.530965,14.218703,4.965113,128.569412,0,77.681374,90.283432,67.295532,8.680324,19.266050,8.651917,15.465130,8.627595,14.920719,9.389449,14.255462,10.256854,15.832673,11.662579,15.068611,11.776583,16.186819,0,0.00123,0.00077,0.00070,0.00310,0.00064,0.00064,0.00074,0.00053,-1.48865,0.09813,3.21523,5.230050,0.000000,0.000000,4.966564,22.900606
0.308,0,0,0,1,0,0,0,0,0,0,7.526088,0.938377,16.617250,3.667623,4.206769,18.300575,5.328660,14.742157,-9.204997,17.561802,6.543734,14.241646,4.963558,128.582260,0,77.619232,90.441597,67.472153,8.682478,19.293993,8.652761,15.460864,8.628484,14.914248,9.389970,14.249368,10.255601,15.827556,11.664303,15.068951,11.777325,16.186430,0,0.00118,0.00074,0.00069,0.00299,0.00063,0.00062,0.00074,0.00053,-1.48857,0.10033,3.21553,5.228513,0.000000,0.000000,4.967794,23.153137
0.309,0,0,0,1,0,0,0,0,0,0,7.527495,0.939576,16.614847,3.668829,4.209400,18.319195,5.328809,14.733057,-9.174249,17.553076,6.551583,14.264972,4.962015,128.768463,0,77.591675,90.508224,67.632523,8.687159,19.324156,8.650466,15.453888,8.628830,14.905763,9.391910,14.241753,10.254133,15.821787,11.665358,15.067851,11.777753,16.184919,0,0.00116,0.00073,0.00068,0.00292,0.00065,0.00062,0.00074,0.00055,-1.48888,0.10056,3.21574,5.226962,0.000000,0.000000,4.967626,23.395378
