"Time","67 LDS cle","66 RDS cle","65 L marks","64 R marks","63 sinus 2","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","v3 L COP","32 FLx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.957275,39.093979,91.134094,60.950607,0.000000,4.755782,-1.823517,4.845307,10.197573,4.717960,12.360385,6.062104,0,4.543231,8.437284,0.000000,12.150074,5.299105,5.774898,8.167815,12.330036,8.258300,8.415978,8.403508,7.947747,8.696424,7.410648,8.984260,8.971842,10.348865,8.737719,10.044319,9.616253,0,-0.01340,0.00278,-0.02080,-0.01467,0.00780,-0.01193,0.00547,0.00257,-1.48138,0.10241,3.27671
0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.760132,39.214634,91.464912,60.897724,0.000000,4.767661,-1.543075,4.843493,10.191710,4.718011,12.350333,6.080026,0,4.543468,8.427545,0.000000,12.167682,5.299077,5.763637,8.168535,12.318466,8.264674,8.408852,8.408055,7.939785,8.699261,7.402765,8.990498,8.965096,10.355831,8.736707,10.046504,9.613323,0,-0.00580,0.00368,-0.02020,-0.01408,0.00653,-0.01247,0.00228,0.00415,-1.47902,0.08893,3.27678
0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.654236,39.383194,91.776451,60.853428,0.000000,4.779851,-1.248971,4.841941,10.186315,4.718122,12.340552,6.098660,0,4.543929,8.417761,0.000000,12.186308,5.298902,5.752237,8.169437,12.306919,8.267187,8.406695,8.415817,7.930408,8.704645,7.395410,8.997289,8.959337,10.363716,8.735707,10.049909,9.610120,0,-0.02638,0.00360,-0.02101,-0.01492,0.00929,-0.01422,0.00341,0.00140,-1.47634,0.10196,3.27670
0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.548340,39.551754,92.087997,60.809128,0.000000,4.792901,-0.954867,4.840390,10.180921,4.718234,12.330771,6.117296,0,4.544389,8.407977,0.000000,12.204933,5.298727,5.740838,8.170340,12.295372,8.269699,8.404538,8.423579,7.921031,8.710030,7.388054,9.004079,8.953579,10.371601,8.734707,10.053314,9.606916,0,-0.01657,0.00251,-0.02065,-0.01289,0.00876,-0.01323,0.00411,0.00206,-1.47984,0.11001,3.27682
0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.442459,39.720314,92.399544,60.764828,0.000000,4.806275,-0.660763,4.838839,10.175526,4.718345,12.320991,6.135931,0,4.544849,8.398192,0.000000,12.223559,5.298552,5.729438,8.171242,12.283825,8.272211,8.402382,8.431341,7.911654,8.715414,7.380699,9.010869,8.947821,10.379487,8.733707,10.056720,9.603714,0,-0.00476,0.00449,-0.02344,-0.01250,0.00898,-0.01266,0.00763,0.00240,-1.47900,0.09486,3.27705
0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.758774,40.311264,92.662804,60.835007,0.000000,4.820554,-0.363311,4.838447,10.171305,4.717978,12.311213,6.155368,0,4.545472,8.388100,0.000000,12.244197,5.298401,5.717915,8.172135,12.271949,8.274540,8.402980,8.434084,7.907431,8.721371,7.375824,9.018103,8.941573,10.387032,8.733208,10.060233,9.601778,0,-0.00413,0.00391,-0.02170,-0.01256,0.00815,-0.01423,0.01669,0.00341,-1.47878,0.07905,3.27684
0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.755707,41.135704,92.899368,60.968464,0.000000,4.835176,-0.064009,4.838695,10.167734,4.717345,12.301438,6.175250,0,4.546185,8.377835,0.000000,12.265946,5.298263,5.706323,8.173023,12.259892,8.276768,8.405102,8.434053,7.906055,8.727643,7.372320,9.025581,8.935054,10.394389,8.732984,10.063807,9.600542,0,-0.02538,0.00475,-0.02094,-0.01331,0.00811,-0.01251,0.00350,0.00188,-1.47882,0.08712,3.27638
0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.752625,41.960148,93.135933,61.101921,0.000000,4.850152,0.235293,4.838943,10.164163,4.716713,12.291662,6.195131,0,4.546896,8.367572,0.000000,12.287695,5.298125,5.694732,8.173912,12.247833,8.278996,8.407223,8.434023,7.904680,8.733916,7.368815,9.033060,8.928535,10.401747,8.732760,10.067380,9.599307,0,-0.02069,0.00168,-0.02075,-0.01332,0.00776,-0.01194,0.00433,0.00171,-1.48199,0.10652,3.27626
0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.749557,42.784588,93.372498,61.235378,0.000000,4.865263,0.534596,4.839192,10.160591,4.716081,12.281887,6.215012,0,4.547609,8.357307,0.000000,12.309444,5.297987,5.683140,8.174800,12.235775,8.281223,8.409344,8.433991,7.903305,8.740189,7.365311,9.040539,8.922015,10.409104,8.732536,10.070953,9.598071,0,-0.02326,0.00281,-0.02095,-0.01309,0.00852,-0.01344,0.00284,0.00329,-1.47941,0.10131,3.27634
0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.088226,43.378414,93.555138,61.412220,0.000000,4.880123,0.812716,4.840236,10.157013,4.715568,12.272127,6.235991,0,4.549038,8.347640,0.000000,12.333735,5.298199,5.671585,8.175686,12.224363,8.267966,8.426854,8.425783,7.902818,8.749640,7.357633,9.046930,8.913590,10.417683,8.731524,10.077121,9.596581,0,-0.01769,0.00395,-0.01548,-0.01361,0.00944,-0.01249,0.00663,0.00316,-1.47829,0.09030,3.27661
