"Time","1 Synch","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","13 Crx (cm)","14 Cry (cm)","15 Hipx (cm)","16 Hipy (cm)","17 Knee x","18 Knee y","19 ankx (cm)","20 anky (cm)","21 MTPx (cm)","22 MTPy (cm)","23 toex (cm)","24 toey (cm)","25 FLtx (cm)","26 FLty (cm)","27 HLx (cm)","28 HLy (cm)","29 HRx (cm)","30 HRy (cm)","31 Keyboard","32 FLx (cm)","33 FLy (cm)","34 FRx (cm)","35 FRy (cm)","36 CoMx (cm)","37 CoMy (cm)","38 Hip (deg)","39 Knee (deg","40 Ankle (de","41 MTP (deg)","42 Rump up","43 Ramp down","44 sw onset","45 sw offset","12 Synch","46 Sw rmp up","47 St rmp up","48 Sw rmp dw","49 St rmp dw","50 Sinus rmp","51 HLl Sw on","52 HLl Sw of","53 HLr Sw on","54 HLr Sw of","55 FLl Sw on","56 FLl Sw of","57 FLr Sw on","58 FLr Sw of","59 Left DS","60 Right DS","61 Ramp up","62 Ramp down","63 rmp up sw","64 rmp up st","65 rm dwn sw","66 rm dwn st"
0.030,3.27696,0.09675,0.00013,0.00061,0.00066,0.00072,0.00064,0.00082,0.00057,0.00099,0.00181,15.803921,10.789029,14.633920,10.689380,14.783198,9.201261,13.205114,8.998961,13.503869,8.183032,14.041466,8.027202,19.966686,8.421102,16.137879,6.880270,14.224397,3.858964,0,17.454510,5.904886,20.031870,4.624128,16.936089,5.227117,89.559310,91.951949,77.662922,125.705732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.031,3.27709,0.09665,0.00029,0.00063,0.00067,0.00072,0.00068,0.00081,0.00058,0.00093,0.00204,15.802727,10.790048,14.632869,10.691266,14.778933,9.202943,13.199691,9.006258,13.495232,8.185451,14.028909,8.029640,19.971562,8.423312,16.156411,6.884166,14.212924,3.856185,0,17.449627,5.900969,20.032119,4.620346,16.935056,5.235615,89.697287,91.889572,77.909689,125.480222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.032,3.27673,0.09699,-0.00015,0.00061,0.00067,0.00075,0.00072,0.00070,0.00060,0.00085,0.00223,15.801292,10.790560,14.630272,10.693211,14.774974,9.204648,13.194286,9.011732,13.485455,8.187732,14.014885,8.032622,19.986525,8.426518,16.173436,6.887932,14.203252,3.856029,0,17.443471,5.896540,20.024988,4.613175,16.934092,5.243428,89.808995,91.812535,78.222052,125.247500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.033,3.27679,0.09714,0.00000,0.00057,0.00068,0.00072,0.00068,0.00081,0.00061,0.00074,0.00217,15.799732,10.790817,14.626669,10.695168,14.771428,9.206226,13.189083,9.016226,13.474514,8.190375,14.000062,8.035758,20.007212,8.428504,16.189159,6.890295,14.194942,3.857391,0,17.436084,5.892413,20.013997,4.604160,16.932783,5.250644,89.897904,91.717933,78.597460,124.995859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.034,3.27753,0.09690,0.00012,0.00055,0.00068,0.00073,0.00069,0.00090,0.00060,0.00067,0.00226,15.798173,10.791089,14.622678,10.697100,14.768400,9.207523,13.184273,9.020703,13.462448,8.193931,13.985194,8.038639,20.028836,8.426867,16.203802,6.889872,14.187438,3.859019,0,17.427575,5.889465,20.003143,4.595073,16.930691,5.257412,89.967761,91.602919,79.030884,124.714190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.035,3.27789,0.09669,-0.00013,0.00054,0.00063,0.00071,0.00066,0.00091,0.00060,0.00062,0.00231,15.796738,10.791646,14.618916,10.698967,14.765993,9.208386,13.180043,9.026117,13.449302,8.198940,13.971025,8.040862,20.046640,8.419221,16.217583,6.885292,14.180183,3.859669,0,17.418053,5.888562,19.996391,4.587678,16.927389,5.263881,90.022347,91.464725,79.517139,124.391462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.036,3.27745,0.09720,-0.00002,0.00053,0.00062,0.00072,0.00063,0.00090,0.00060,0.00056,0.00220,15.795552,10.792592,14.616007,10.700684,14.764221,9.208770,13.176505,9.032803,13.435263,8.205454,13.957741,8.042362,20.057931,8.404539,16.230577,6.876154,14.172890,3.858695,0,17.407556,5.889929,19.995054,4.582918,16.923086,5.270158,90.068177,91.306404,80.039532,124.022836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.037,3.27709,0.09733,0.00004,0.00055,0.00058,0.00065,0.00060,0.00082,0.00064,0.00059,0.00217,15.794739,10.793755,14.614579,10.702092,14.762956,9.208811,13.173640,9.040053,13.420755,8.212702,13.944599,8.043639,20.063465,8.384063,16.242621,6.863679,14.165718,3.856452,0,17.396008,5.892721,19.996031,4.580372,16.919055,5.276289,90.116325,91.140712,80.562184,123.613786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.038,3.27730,0.09709,0.00000,0.00057,0.00056,0.00059,0.00058,0.00081,0.00064,0.00061,0.00226,15.794424,10.794935,14.615262,10.703026,14.762055,9.208662,13.171418,9.047067,13.406225,8.219836,13.930764,8.045248,20.064326,8.359247,16.253530,6.849240,14.158867,3.853388,0,17.383323,5.895990,19.995800,4.579490,16.916666,5.282311,90.178300,90.981329,81.047392,123.170769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.039,3.27770,0.09714,-0.00012,0.00057,0.00059,0.00058,0.00071,0.00082,0.00062,0.00060,0.00218,15.794729,10.795937,14.618675,10.703323,14.761372,9.208477,13.169807,9.053047,13.392124,8.226012,13.915419,8.047740,20.061586,8.331550,16.263128,6.834209,14.152534,3.849951,0,17.369416,5.898795,19.990863,4.579720,16.917278,5.288263,90.265547,90.841856,81.457823,122.700345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.040,3.27784,0.09755,-0.00013,0.00060,0.00057,0.00059,0.00074,0.00088,0.00059,0.00061,0.00208,15.795692,10.796737,14.624716,10.703022,14.760801,9.208353,13.168718,9.057668,13.379003,8.230744,13.898984,8.051218,20.055528,8.302631,16.271889,6.819758,14.146688,3.846615,0,17.354467,5.900632,19.979473,4.580492,16.921183,5.294328,90.384989,90.730262,81.783107,122.216829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.041,3.27737,0.09752,0.00027,0.00060,0.00059,0.00060,0.00074,0.00087,0.00059,0.00062,0.00201,15.797204,10.797597,14.632083,10.702500,14.760290,9.208304,13.167957,9.061389,13.367587,8.234141,13.883938,8.055051,20.045124,8.274483,16.281375,6.806729,14.140919,3.843890,0,17.339094,5.901731,19.962796,4.581201,16.926894,5.300925,90.536008,90.645122,82.057858,121.747469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.042,3.27644,0.09735,0.00002,0.00059,0.00059,0.00059,0.00071,0.00094,0.00060,0.00063,0.00196,15.799145,10.798808,14.639359,10.702168,14.759792,9.208331,13.167324,9.064744,13.358615,8.236368,13.872958,8.058533,20.029217,8.249132,16.293248,6.795935,14.134783,3.842288,0,17.323958,5.902389,19.942277,4.581240,16.932757,5.308495,90.717270,90.584119,82.320953,121.320741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.043,3.27607,0.09714,0.00002,0.00062,0.00057,0.00062,0.00073,0.00084,0.00058,0.00060,0.00200,15.801392,10.800655,14.645135,10.702432,14.759262,9.208438,13.166618,9.068266,13.352814,8.237595,13.868680,8.060969,20.006678,8.228588,16.309146,6.788175,14.127834,3.842317,0,17.309712,5.902904,19.919359,4.580012,16.937130,5.317470,90.927434,90.544980,82.611078,120.964830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.044,3.27661,0.09740,0.00002,0.00065,0.00058,0.00061,0.00074,0.00075,0.00058,0.00058,0.00190,15.803785,10.803150,14.648825,10.703401,14.758649,9.208602,13.165730,9.072356,13.349762,8.238322,13.870974,8.062153,19.978218,8.213711,16.328738,6.783449,14.119712,3.843861,0,17.296639,5.903582,19.895425,4.577645,16.939239,5.327635,91.164748,90.528598,82.952740,120.686570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.045,3.27729,0.09755,0.00002,0.00068,0.00062,0.00094,0.00078,0.00082,0.00058,0.00055,0.00183,15.806101,10.805845,14.651200,10.704693,14.757898,9.208760,13.164696,9.077197,13.347125,8.239597,13.875092,8.062700,19.947616,8.203447,16.348404,6.780419,14.110197,3.845772,0,17.284395,5.904740,19.871756,4.575477,16.939757,5.337696,91.426772,90.541147,83.346798,120.457187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
