"Time","67 sinus","66 rm dwn st","65 rm dwn sw","64 rmp up st","63 rmp up sw","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 rFLswoff","57 rFLswon","56 lFLswoff","55 lFLswon","54 rHLswoff","53 rHLswon","52 lHLswoff","51 lHLswon","50 sinus rmp","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.030,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.342506,92.274811,116.419868,151.792969,6.333745,15.290995,5.741405,17.967392,7.306767,17.481091,0,5.173041,11.406726,7.164432,13.423031,8.241604,18.306061,8.247053,11.587987,8.586861,11.154216,9.353143,11.333733,9.028809,12.773438,9.763778,13.474784,10.648803,14.686382,0,-0.01320,0.01584,-0.02111,-0.01293,0.00618,-0.01176,0.00342,0.00301,0.83062,0.09645,3.27759
0.031,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.709557,93.341057,116.623177,148.690170,6.341187,15.287555,5.747840,17.960741,7.318685,17.500406,0,5.176712,11.398308,7.586585,13.848837,8.237405,18.294111,8.243970,11.578210,8.588504,11.149302,9.354236,11.329995,9.111938,12.796858,9.829539,13.495687,10.649365,14.667650,0,-0.02000,-0.00356,-0.01967,-0.01395,0.00525,-0.01339,0.00533,0.00290,0.84791,0.09610,3.27757
0.032,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.857903,91.080322,113.503624,148.032074,6.347264,15.283676,5.753300,17.947479,7.321666,17.500097,0,5.179294,11.387190,7.587285,13.845367,8.232446,18.281223,8.245141,11.566972,8.591349,11.140282,9.356337,11.323366,9.110711,12.791424,10.065979,13.578898,10.644280,14.662693,0,-0.01129,0.01019,-0.01630,-0.01415,0.00921,-0.01209,0.00576,0.00236,0.87595,0.09616,3.27749
0.033,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.006248,88.819588,110.384079,147.373993,6.353341,15.279799,5.758759,17.934217,7.324647,17.499790,0,5.181875,11.376072,7.587984,13.841898,8.227487,18.268335,8.246312,11.555735,8.594193,11.131260,9.358438,11.316736,9.109484,12.785990,10.302419,13.662109,10.639196,14.657736,0,-0.01461,0.00447,-0.01978,-0.01399,0.00840,-0.01343,0.00704,0.00213,0.89485,0.09644,3.27741
0.034,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.154594,86.558846,107.264526,146.715897,6.359418,15.275921,5.764218,17.920958,7.327628,17.499483,0,5.184457,11.364954,7.588684,13.838428,8.222528,18.255447,8.247483,11.544497,8.597038,11.122239,9.360539,11.310107,9.108256,12.780556,10.538858,13.745320,10.634112,14.652779,0,-0.01860,0.00421,-0.02167,-0.01336,0.00812,-0.01210,0.01127,0.00280,0.91250,0.09658,3.27734
0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.142029,84.311218,104.586418,147.544846,6.365012,15.271200,5.769185,17.907463,7.329827,17.495312,0,5.188280,11.354494,7.590941,13.833504,8.219293,18.242260,8.246767,11.532868,8.599590,11.112775,9.363360,11.304642,9.072545,12.761971,10.634599,13.777669,10.628968,14.649673,0,-0.01043,0.00431,-0.01851,-0.01346,0.00804,-0.01292,0.00687,0.00279,0.93540,0.09632,3.27726
0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.743057,82.095078,102.968361,151.944702,6.369445,15.264458,5.772969,17.893414,7.330146,17.481863,0,5.195083,11.345617,7.596941,13.825085,8.220199,18.228350,8.241518,11.520304,8.601440,11.102247,9.367912,11.301971,8.954021,12.711803,10.392468,13.687877,10.623679,14.651013,0,-0.01835,0.00425,-0.02107,-0.01352,0.00718,-0.01244,0.00444,0.00209,0.97053,0.09600,3.27718
0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.344078,79.878929,101.350296,156.344559,6.373878,15.257714,5.776753,17.879364,7.330465,17.468416,0,5.201887,11.336740,7.602940,13.816665,8.221104,18.214439,8.236268,11.507738,8.603291,11.091720,9.372464,11.299302,8.835499,12.661637,10.150338,13.598085,10.618391,14.652353,0,-0.01888,-0.00868,-0.02344,-0.01387,0.00714,-0.01294,0.00601,0.00213,0.99422,0.09629,3.27713
0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.945107,77.662788,99.732239,160.744415,6.378312,15.250972,5.780538,17.865314,7.330785,17.454967,0,5.208691,11.327864,7.608939,13.808246,8.222010,18.200531,8.231019,11.495173,8.605141,11.081192,9.377016,11.296632,8.716975,12.611470,9.908208,13.508293,10.613102,14.653694,0,-0.01837,0.00281,-0.01680,-0.01416,0.00791,-0.01145,0.00477,0.00397,1.01517,0.09640,3.27713
0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.560631,76.047951,98.673866,162.598862,6.383392,15.244703,5.783478,17.852814,7.331584,17.439463,0,5.215641,11.317163,7.612739,13.801281,8.221239,18.188696,8.227834,11.484378,8.605690,11.069768,9.379824,11.291648,8.633610,12.571962,9.737471,13.443476,10.606477,14.653696,0,-0.01855,0.00401,-0.02062,-0.01324,0.00809,-0.01167,0.00598,0.00093,1.03221,0.09618,3.27728
0.040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.210968,75.877075,98.959511,158.340897,6.390027,15.239576,5.784390,17.844028,7.333535,17.419018,0,5.222940,11.302080,7.611256,13.797809,8.216446,18.181845,8.229605,11.477836,8.603119,11.056192,9.378444,11.281108,8.634668,12.558050,9.738176,13.438628,10.596642,14.650483,0,-0.01743,0.02571,-0.01343,-0.01325,0.00831,-0.01250,0.00669,0.00153,1.05004,0.09599,3.27782
0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.861305,75.706200,99.245155,154.082916,6.396660,15.234449,5.785303,17.835243,7.335485,17.398573,0,5.230239,11.286998,7.609773,13.794336,8.211653,18.174995,8.231375,11.471293,8.600548,11.042617,9.377063,11.270567,8.635728,12.544138,9.738881,13.433781,10.586806,14.647270,0,-0.01887,0.03275,-0.02335,-0.01283,0.00726,-0.01343,0.00500,0.00418,1.06907,0.09593,3.27800
0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.511650,75.535316,99.530800,149.824951,6.403295,15.229322,5.786215,17.826460,7.337437,17.378128,0,5.237539,11.271915,7.608291,13.790864,8.206860,18.168144,8.233146,11.464751,8.597977,11.029041,9.375682,11.260026,8.636787,12.530226,9.739587,13.428933,10.576971,14.644057,0,-0.01431,-0.01024,-0.03917,-0.01400,0.00950,-0.01433,0.00495,0.00228,1.08647,0.09615,3.27732
0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.261223,75.371078,99.682571,144.925278,6.408629,15.223876,5.786798,17.817163,7.340329,17.357204,0,5.245110,11.258808,7.606785,13.782715,8.203122,18.159683,8.236913,11.457828,8.597780,11.016840,9.375000,11.247085,8.637385,12.516291,9.738009,13.421897,10.497334,14.627514,0,-0.02318,0.00803,-0.02203,-0.01416,0.00792,-0.01176,0.00602,0.00106,1.10334,0.09625,3.27685
