"Time","59 Left DS","60 Memory","v5 L COP","67 xCoM","v3 R COP","3 Platform"
0.411,1,0,7.057830,6.258865,0.000000,1.48270
0.412,1,0,7.058682,6.255976,0.000000,1.48103
0.413,1,0,7.059863,6.253017,0.000000,1.48298
0.414,1,0,7.061125,6.250058,0.000000,1.48444
0.415,1,0,7.062453,6.247098,0.000000,1.48340
0.416,1,0,7.063373,6.244183,0.000000,1.48422
0.417,1,0,7.063967,6.241316,0.000000,1.48416
0.418,1,0,7.064521,6.238449,0.000000,1.48398
0.419,1,0,7.065044,6.235582,0.000000,1.48399
0.420,1,0,7.065947,6.232730,0.000000,1.48266
0.421,1,0,7.067153,6.229896,0.000000,1.48475
0.422,1,0,7.068267,6.227062,0.000000,1.48369
0.423,1,0,7.069309,6.224227,0.000000,1.48459
0.424,1,0,7.069786,6.221391,0.000000,1.48589
0.425,1,0,7.069812,6.218551,0.000000,1.48347
0.426,1,0,7.069853,6.215712,0.000000,1.48640
0.427,1,0,7.069906,6.212873,0.000000,1.48369
0.428,1,0,7.069930,6.210496,0.000000,1.48433
0.429,1,0,7.069930,6.208632,0.000000,1.48499
0.430,1,0,7.069930,6.206768,0.000000,1.48540
0.431,1,0,7.069930,6.204904,0.000000,1.48283
0.432,1,0,7.069930,6.203654,0.000000,1.48389
0.433,1,0,7.069930,6.203085,0.000000,1.48360
0.434,1,0,7.069886,6.202517,0.000000,1.48390
0.435,1,0,7.069807,6.201948,0.000000,1.48475
0.436,1,0,7.069012,6.201619,0.000000,1.48622
0.437,1,0,7.067646,6.201556,0.000000,1.48480
0.438,1,0,7.066582,6.201493,0.000000,1.48261
0.439,1,0,7.065759,6.201430,0.000000,1.48344
0.440,1,0,7.065248,6.201174,0.000000,1.48517
0.441,1,0,7.064988,6.200703,0.000000,1.48325
0.442,1,0,7.064872,6.200232,0.000000,1.48456
0.443,1,0,7.064872,6.199760,0.000000,1.48616
0.444,1,0,7.064872,6.200067,0.000000,1.48386
0.445,1,0,7.064872,6.201235,0.000000,1.48424
0.446,1,0,7.064870,6.202404,0.000000,1.48298
0.447,1,0,7.064866,6.203572,0.000000,1.48456
0.448,1,0,7.064865,6.204492,0.000000,1.48300
0.449,1,0,7.064865,6.205135,0.000000,1.48364
0.450,1,0,7.064865,6.205779,0.000000,1.48464
0.451,1,0,7.064865,6.206422,0.000000,1.48256
0.452,1,0,7.064688,6.206664,0.000000,1.48330
0.453,1,0,7.064369,6.206460,0.000000,1.48487
0.454,0,0,5.100373,6.206255,0.000000,1.48359
0.455,0,0,1.568259,6.206051,0.000000,1.48443
0.456,0,0,0.000000,6.205997,0.000000,1.48478
0.457,0,0,0.000000,6.206111,0.000000,1.48511
0.458,0,0,0.000000,6.206224,0.000000,1.48423
0.459,0,0,0.000000,6.206338,0.000000,1.48215
0.460,0,0,0.000000,6.206367,0.000000,1.48373
0.461,0,0,0.000000,6.206304,0.000000,1.48409
0.462,0,0,0.000000,6.206240,0.000000,1.48350
0.463,0,0,0.000000,6.206176,0.000000,1.48339
0.464,0,0,0.000000,6.205995,0.000000,1.48464
0.465,0,0,0.000000,6.205683,0.000000,1.48409
0.466,0,0,0.000000,6.205370,0.000000,1.48313
0.467,0,0,0.000000,6.205059,0.000000,1.48439
0.468,0,0,0.000000,6.205504,0.000000,1.48381
0.469,0,0,0.000000,6.206790,0.000000,1.48596
0.470,0,0,0.000000,6.208076,0.000000,1.48378
0.471,0,0,0.000000,6.209362,0.000000,1.48347
0.472,0,0,0.000000,6.210128,0.000000,1.48342
0.473,0,0,0.000000,6.210315,0.000000,1.48210
0.474,0,0,0.000000,6.210503,0.000000,1.48359
0.475,0,0,0.000000,6.210691,0.000000,1.48436
0.476,0,0,0.000000,6.211435,0.000000,1.48531
0.477,0,0,0.000000,6.212797,0.000000,1.48447
0.478,0,0,0.000000,6.214159,0.000000,1.48350
0.479,0,0,0.000000,6.215520,0.000000,1.48290
0.480,0,0,0.000000,6.217384,0.000000,1.48391
0.481,0,0,0.000000,6.219806,0.000000,1.48175
0.482,0,0,0.000000,6.222228,0.000000,1.48492
0.483,0,0,0.000000,6.224650,0.000000,1.48434
0.484,0,0,0.000000,6.227593,0.000000,1.48228
0.485,0,0,0.000000,6.231114,0.000000,1.48405
0.486,0,0,0.000000,6.234636,0.000000,1.48349
0.487,0,0,0.000000,6.238158,0.000000,1.48422
0.488,0,0,0.000000,6.242091,0.000000,1.48416
0.489,0,0,0.000000,6.246482,0.000000,1.48259
0.490,0,0,0.000000,6.250872,0.000000,1.48391
0.491,0,0,0.000000,6.255263,0.000000,1.48232
0.492,0,0,0.000000,6.259751,0.000000,1.48466
