"Time","60 Right DS","59 Left DS","58 FLr Sw of","57 FLr Sw on","56 FLl Sw of","54 HLr Sw of","55 FLl Sw on","53 HLr Sw on","52 HLl Sw of","51 HLl Sw on","v6 L Mos","v4 R Mos","67 xCoM","37 CoMy (cm)","v5 L COP","v3 R COP","35 FRy (cm)","33 FLy (cm)","30 HRy (cm)","28 HLy (cm)"
0.145,1,1,0,0,0,0,0,0,0,0,-5.548275,-1.291109,5.548885,3.275457,0.000000,4.257165,4.619022,5.904395,3.895132,6.762279
0.146,1,1,0,0,0,0,0,0,0,0,-5.548080,-1.290499,5.548722,3.359582,0.000000,4.257581,4.613529,5.904759,3.899482,6.759549
0.147,1,1,0,0,0,0,0,0,0,0,-5.548129,-1.290548,5.548559,3.443707,0.000000,4.257581,4.608036,5.905123,3.903831,6.756820
0.148,1,1,0,0,0,0,0,0,0,0,-5.551995,-1.294414,5.552497,3.546800,0.000000,4.257581,4.605186,5.911061,3.906439,6.757932
0.149,1,1,0,0,0,0,0,0,0,0,-5.559802,-1.302220,5.562338,3.677188,0.000000,4.257581,4.606139,5.925019,3.906540,6.764573
0.150,1,1,0,0,0,0,0,0,0,0,-5.569464,-1.311882,5.572179,3.807575,0.000000,4.257581,4.607091,5.938977,3.906642,6.771213
0.151,1,1,0,0,0,0,0,0,0,0,-5.581042,-1.323461,5.582020,3.937963,0.000000,4.257581,4.608045,5.952935,3.906744,6.777853
0.152,1,1,0,0,0,0,0,0,0,0,-5.591782,-1.333179,5.591977,4.072146,0.000000,4.258603,4.611330,5.965817,3.905803,6.782180
0.153,1,1,0,0,0,0,0,0,0,0,-5.601655,-1.340974,5.602100,4.211789,0.000000,4.260681,4.617972,5.977152,3.903364,6.783177
0.154,1,1,0,0,0,0,0,0,0,0,-5.611751,-1.348970,5.612223,4.351432,0.000000,4.262781,4.624615,5.988486,3.900924,6.784175
0.155,1,1,0,0,0,0,0,0,0,0,-5.622079,-1.357174,5.622345,4.491075,0.000000,4.264905,4.631257,5.999821,3.898485,6.785173
0.156,1,1,0,0,0,0,0,0,0,0,-5.634586,-1.368136,5.635884,4.644787,0.000000,4.266450,4.632583,6.014062,3.900367,6.786622
0.157,1,1,0,0,0,0,0,0,0,0,-5.649343,-1.381946,5.654338,4.818744,0.000000,4.267398,4.626259,6.032485,3.908467,6.788722
0.158,1,1,0,0,0,0,0,0,0,0,-5.667461,-1.399172,5.672792,4.992702,0.000000,4.268290,4.619935,6.050908,3.916566,6.790821
0.159,1,1,0,0,0,0,0,0,0,0,-5.689049,-1.419925,5.691247,5.166658,0.000000,4.269125,4.613611,6.069331,3.924666,6.792921
0.160,1,1,0,0,0,0,0,0,0,0,-5.714183,-1.443632,5.714032,5.337800,0.000000,4.270551,4.610939,6.165300,3.930370,6.793387
0.161,1,1,0,0,0,0,0,0,0,0,-5.742978,-1.470391,5.743051,5.504890,0.000000,4.272587,4.613520,6.372861,3.932628,6.791502
0.162,1,1,0,0,0,0,0,0,0,0,-5.771984,-1.497123,5.772070,5.671980,0.000000,4.274861,4.616102,6.580422,3.934886,6.789618
0.163,1,1,0,0,0,0,0,0,0,0,-5.801206,-1.523826,5.801089,5.839070,0.000000,4.277380,4.618683,6.787983,3.937143,6.787734
0.164,1,1,0,0,0,0,0,0,0,0,-5.827315,-1.548655,5.826748,5.974146,0.000000,4.278660,4.619609,6.847199,3.940056,6.785907
0.165,1,1,0,0,0,0,0,0,0,0,-5.850208,-1.571549,5.847573,6.063153,0.000000,4.278660,4.618152,6.692945,3.943910,6.784165
0.166,1,1,0,0,0,0,0,0,0,0,-5.871216,-1.592557,5.868397,6.152159,0.000000,4.278660,4.616695,6.538690,3.947765,6.782423
0.167,1,1,0,0,0,0,0,0,0,0,-5.890277,-1.611618,5.889222,6.241166,0.000000,4.278660,4.615239,6.384435,3.951619,6.780681
0.168,1,1,0,0,0,0,0,0,0,0,-5.909154,-1.630494,5.908192,6.317114,0.000000,4.278660,4.615866,6.304748,3.950133,6.779466
0.169,1,1,0,0,0,0,0,0,0,0,-5.927840,-1.649181,5.924494,6.374269,0.000000,4.278660,4.619492,6.332364,3.940960,6.779008
0.170,1,1,0,0,0,0,0,0,0,0,-5.944363,-1.666876,5.940796,6.431425,0.000000,4.277487,4.623118,6.359980,3.931788,6.778551
0.171,1,1,0,0,0,0,0,0,0,0,-5.958652,-1.683548,5.957098,6.488580,0.000000,4.275104,4.626744,6.387596,3.922615,6.778093
0.172,1,1,0,0,0,0,0,0,0,0,-5.968773,-1.694965,5.968392,6.525289,0.000000,4.273808,4.628758,6.403863,3.917477,6.778825
0.173,1,1,0,0,0,0,0,0,0,0,-5.974590,-1.700956,5.972480,6.532573,0.000000,4.273635,4.628455,6.403800,3.918144,6.781269
0.174,1,1,0,0,0,0,0,0,0,0,-5.978828,-1.705380,5.976567,6.539858,0.000000,4.273448,4.628151,6.403736,3.918811,6.783712
0.175,1,1,0,0,0,0,0,0,0,0,-5.981435,-1.708188,5.980654,6.547143,0.000000,4.273247,4.627848,6.403673,3.919479,6.786156
0.176,1,1,0,0,0,0,0,0,0,0,-5.985279,-1.713471,5.984805,6.533508,0.000000,4.271808,4.626806,6.405182,3.918169,6.785170
0.177,1,1,0,0,0,0,0,0,0,0,-5.990398,-1.721309,5.989048,6.489770,0.000000,4.269090,4.624701,6.408953,3.914014,6.779250
0.178,1,1,0,0,0,0,0,0,0,0,-5.994726,-1.727809,5.993291,6.446033,0.000000,4.266917,4.622596,6.412725,3.909859,6.773330
0.179,1,1,0,0,0,0,0,0,0,0,-5.998236,-1.732927,5.997534,6.402295,0.000000,4.265309,4.620492,6.416496,3.905704,6.767409
0.180,1,1,0,0,0,0,0,0,0,0,-5.998466,-1.734565,5.998006,6.336141,0.000000,4.263902,4.619945,6.419675,3.903222,6.762981
0.181,1,1,0,0,0,0,0,0,0,0,-5.995312,-1.732610,5.993051,6.237728,0.000000,4.262702,4.621640,6.422000,3.903150,6.760701
0.182,1,1,0,0,0,0,0,0,0,0,-5.990516,-1.728574,5.988096,6.139315,0.000000,4.261941,4.623335,6.424325,3.903077,6.758421
0.183,1,1,0,0,0,0,0,0,0,0,-5.984025,-1.722389,5.983142,6.040901,0.000000,4.261636,4.625031,6.426650,3.903004,6.756141
0.184,1,1,0,0,0,0,0,0,0,0,-5.978023,-1.716569,5.977770,5.923786,0.000000,4.261454,4.624369,6.427894,3.902482,6.754136
0.185,1,1,0,0,0,0,0,0,0,0,-5.972525,-1.711127,5.971797,5.779757,0.000000,4.261398,4.620317,6.427583,3.901311,6.752529
0.186,1,1,0,0,0,0,0,0,0,0,-5.966598,-1.706949,5.965825,5.635728,0.000000,4.259649,4.616263,6.427272,3.900141,6.750921
