"Time","64 sinus3","63 Ramp down","62 Ramp up","61 right DS","60 left DS","59 rHL swoff","58 rHL swon","57 lHL swoff","56 lHL swon","55 rFL swoff","54 rFL swon","53 lFL swoff","52 lFL swon","51 sinus2","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch","v2 Virtual","v1 Virtual"
0.038,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00404,0.00349,0.00303,0.00167,0.00057,0.00066,0.01805,0.00654,-1.47820,0.10080,3.27796,,
0.039,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00433,0.00370,0.00353,0.00170,0.00057,0.00067,0.01813,0.00641,-1.48235,0.10090,3.27773,,
0.040,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00490,0.00371,0.00389,0.00167,0.00056,0.00068,0.01817,0.00629,-1.47790,0.10112,3.27697,,
0.041,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00510,0.00372,0.00394,0.00167,0.00055,0.00066,0.01746,0.00633,-1.47958,0.10098,3.27653,,
0.042,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00506,0.00375,0.00417,0.00156,0.00056,0.00066,0.01546,0.00746,-1.47916,0.10083,3.27630,,
0.043,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00516,0.00369,0.00426,0.00157,0.00057,0.00064,0.01491,0.00777,-1.47860,0.10102,3.27650,,
0.044,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00542,0.00369,0.00423,0.00160,0.00057,0.00063,0.01501,0.00710,-1.47861,0.10110,3.27695,,
0.045,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00550,0.00421,0.00428,0.00190,0.00056,0.00064,0.01375,0.00680,-1.48314,0.10086,3.27690,,
0.046,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00596,0.00449,0.00437,0.00200,0.00056,0.00063,0.01281,0.00654,-1.47806,0.10090,3.27651,,
0.047,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00617,0.00442,0.00434,0.00204,0.00056,0.00063,0.01290,0.00654,-1.47941,0.10112,3.27670,,
0.048,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00645,0.00390,0.00418,0.00204,0.00056,0.00064,0.01309,0.00656,-1.47856,0.10088,3.27723,,
0.049,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00612,0.00377,0.00416,0.00189,0.00056,0.00064,0.01291,0.00698,-1.47962,0.10084,3.27706,,
0.050,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00590,0.00371,0.00402,0.00179,0.00057,0.00065,0.01276,0.00703,-1.47834,0.10115,3.27645,,
0.051,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00610,0.00352,0.00366,0.00171,0.00059,0.00067,0.01207,0.00678,-1.47751,0.10112,3.27645,,
0.052,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00616,0.00331,0.00349,0.00163,0.00058,0.00066,0.01184,0.00670,-1.47774,0.10101,3.27683,,
0.053,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00641,0.00345,0.00352,0.00166,0.00060,0.00064,0.01294,0.00647,-1.47656,0.10133,3.27693,,
0.054,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00643,0.00340,0.00401,0.00176,0.00062,0.00065,0.01551,0.00634,-1.47845,0.10150,3.27685,,
0.055,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00617,0.00353,0.00426,0.00181,0.00062,0.00066,0.01631,0.00647,-1.48016,0.10136,3.27701,,
0.056,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00598,0.00368,0.00421,0.00189,0.00062,0.00067,0.01715,0.00654,-1.47772,0.10152,3.27732,,
0.057,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00583,0.00372,0.00403,0.00185,0.00062,0.00068,0.01719,0.00784,-1.47755,0.10167,3.27720,,
0.058,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00542,0.00353,0.00376,0.00181,0.00062,0.00068,0.01485,0.00801,-1.47932,0.10137,3.27682,,
0.059,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00505,0.00333,0.00326,0.00176,0.00060,0.00070,0.01377,0.00792,-1.48017,0.10131,3.27686,,
0.060,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00440,0.00328,0.00300,0.00177,0.00061,0.00069,0.01310,0.00792,-1.47959,0.10147,3.27716,,
0.061,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00438,0.00323,0.00301,0.00175,0.00060,0.00069,0.01298,0.00780,-1.48008,0.10141,3.27724,,
0.062,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00475,0.00315,0.00297,0.00175,0.00060,0.00068,0.01474,0.00699,-1.47888,0.10124,3.27716,,
0.063,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00503,0.00305,0.00297,0.00169,0.00060,0.00069,0.01588,0.00590,-1.47886,0.10126,3.27713,,
0.064,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00520,0.00286,0.00302,0.00170,0.00059,0.00070,0.01535,0.00589,-1.47874,0.10136,3.27713,,
0.065,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00511,0.00244,0.00314,0.00152,0.00058,0.00073,0.01487,0.00593,-1.48071,0.10129,3.27704,,
0.066,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00462,0.00212,0.00340,0.00143,0.00057,0.00074,0.01500,0.00595,-1.47865,0.10127,3.27688,,
0.067,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00442,0.00202,0.00340,0.00140,0.00057,0.00075,0.01520,0.00593,-1.47924,0.10147,3.27668,,
0.068,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00380,0.00202,0.00349,0.00130,0.00058,0.00073,0.01491,0.00593,-1.48070,0.10151,3.27646,,
0.069,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00353,0.00202,0.00365,0.00127,0.00058,0.00074,0.01477,0.00547,-1.48027,0.10138,3.27646,,
0.070,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00348,0.00201,0.00369,0.00124,0.00057,0.00073,0.01548,0.00548,-1.47988,0.10148,3.27661,,
