"Time","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","12 Synch","42 Ramp up","43 Ramp down","44 sw onset","45 sw offset"
1.07,0.19541,1.48544,0.00588,0.00955,0.00070,0.00057,0.00055,0.00166,0.00374,0.00141,0,0,0,0,0
1.08,0.19524,1.48437,0.00451,0.00981,0.00070,0.00058,0.00053,0.00090,0.00330,0.00126,0,0,0,0,0
1.09,0.19453,1.48464,0.00291,0.00880,0.00077,0.00064,0.00058,0.00080,0.00341,0.00143,0,0,0,0,0
1.10,0.19431,1.48110,0.00247,0.00781,0.00084,0.00070,0.00073,0.00094,0.00330,0.00113,0,0,0,0,0
1.11,0.19440,1.48471,0.00104,0.00434,0.00077,0.00066,0.00083,0.00106,0.00307,0.00084,0,0,0,0,1
1.12,0.19353,1.48445,0.00056,0.00138,0.00065,0.00060,0.00108,0.00084,0.00345,0.00279,0,0,0,0,0
1.13,0.19222,1.48471,0.00074,0.00082,0.00104,0.00077,0.00155,0.00072,0.00240,0.00452,0,0,0,0,0
1.14,0.19226,1.48423,0.00079,0.00082,0.00113,0.00074,0.00156,0.00076,0.00525,0.00380,0,0,0,0,0
1.15,0.19313,1.48431,0.00060,0.00109,0.00072,0.00056,0.00138,0.00065,0.00563,0.00343,0,0,0,0,0
1.16,0.19457,1.48385,0.00060,0.00150,0.00070,0.00058,0.00131,0.00062,0.00297,0.00261,0,0,0,0,0
1.17,0.19512,1.48506,0.00061,0.00118,0.00071,0.00056,0.00120,0.00064,0.00336,0.00192,0,0,0,0,0
1.18,0.19582,1.48392,0.00063,0.00083,0.00068,0.00060,0.00120,0.00059,0.00317,0.00152,0,0,0,0,0
1.19,0.19619,1.48372,0.00063,0.00084,0.00068,0.00064,0.00115,0.00058,0.00280,0.00156,0,0,0,0,0
1.20,0.19562,1.48363,0.00062,0.00089,0.00072,0.00059,0.00135,0.00068,0.00184,0.00163,0,0,0,0,0
1.21,0.19510,1.48638,0.00063,0.00088,0.00075,0.00060,0.00149,0.00067,0.00289,0.00151,0,0,0,0,0
1.22,0.19521,1.48293,0.00060,0.00085,0.00074,0.00062,0.00141,0.00064,0.00200,0.00199,0,0,0,0,0
1.23,0.19547,1.48229,0.00058,0.00081,0.00074,0.00061,0.00154,0.00073,0.00204,0.00152,0,0,0,0,0
1.24,0.19574,1.48558,0.00057,0.00073,0.00078,0.00061,0.00169,0.00072,0.00224,0.00111,0,0,0,0,0
1.25,0.19538,1.48364,0.00054,0.00075,0.00074,0.00059,0.00172,0.00075,-0.00016,0.00121,0,0,0,0,0
1.26,0.19541,1.48444,0.00053,0.00072,0.00079,0.00064,0.00151,0.00080,0.01235,0.00109,0,0,0,0,0
1.27,0.19489,1.48423,0.00054,0.00076,0.00089,0.00071,0.00154,0.00081,0.00408,0.00118,0,0,0,0,0
1.28,0.19428,1.48396,0.00055,0.00074,0.00089,0.00084,0.00136,0.00082,0.00433,0.00123,0,0,0,0,0
1.29,0.19356,1.48465,0.00087,0.00239,0.00086,0.00077,0.00090,0.00076,0.00310,0.00099,0,0,0,0,0
1.30,0.19341,1.48389,0.00422,0.00945,0.00079,0.00062,0.00094,0.00067,0.00132,0.00098,0,0,0,0,0
1.31,0.19284,1.48392,0.00702,0.01357,0.00083,0.00065,0.00158,0.00086,0.00463,0.00295,0,0,0,0,0
1.32,0.19311,1.48415,0.00532,0.01174,0.00084,0.00059,0.00150,0.00094,-0.00809,0.00429,0,0,0,1,0
1.33,0.19282,1.48342,0.00470,0.00902,0.00077,0.00057,0.00132,0.00139,0.00429,0.00389,0,0,0,0,0
1.34,0.19248,1.48514,0.00463,0.00936,0.00079,0.00058,0.00136,0.00247,0.00315,0.00352,0,0,0,0,0
1.35,0.19230,1.48375,0.00463,0.01216,0.00090,0.00066,0.00103,0.00255,0.00095,0.00196,0,0,0,0,0
1.36,0.19240,1.48260,0.00619,0.01302,0.00084,0.00064,0.00070,0.00191,0.00559,0.00080,0,0,0,0,0
1.37,0.19263,1.48459,0.00501,0.01609,0.00072,0.00056,0.00051,0.00158,0.00364,0.00088,0,0,0,0,0
1.38,0.19276,1.48458,0.00279,0.01248,0.00076,0.00059,0.00053,0.00111,0.00417,0.00087,0,0,0,0,0
1.39,0.19286,1.48330,0.00142,0.00446,0.00081,0.00066,0.00055,0.00071,0.00212,0.00077,0,0,0,0,0
1.40,0.19321,1.48401,0.00060,0.00202,0.00088,0.00075,0.00066,0.00084,0.00433,0.00080,0,0,0,0,0
1.41,0.19343,1.48370,0.00061,0.00142,0.00089,0.00074,0.00094,0.00102,0.00279,0.00133,0,0,0,0,1
1.42,0.19313,1.48568,0.00066,0.00119,0.00101,0.00082,0.00140,0.00097,0.00480,0.00165,0,0,0,0,0
1.43,0.19309,1.48356,0.00076,0.00109,0.00113,0.00109,0.00211,0.00090,0.00335,0.00137,0,0,0,0,0
1.44,0.19434,1.48369,0.00072,0.00113,0.00105,0.00112,0.00258,0.00096,0.00450,0.00155,0,0,0,0,0
1.45,0.19533,1.48529,0.00056,0.00133,0.00271,0.00119,0.00236,0.00096,0.00432,0.00165,0,0,0,0,0
1.46,0.19474,1.48549,0.00053,0.00163,0.00276,0.00132,0.00187,0.00088,0.00336,0.00136,0,0,0,0,0
1.47,0.19475,1.48493,0.00060,0.00150,0.00129,0.00150,0.00133,0.00086,0.00438,0.00167,0,0,0,0,0
1.48,0.19442,1.48735,0.00071,0.00119,0.00128,0.00135,0.00119,0.00075,0.00342,0.00164,0,0,0,0,0
1.49,0.19444,1.48406,0.00184,0.00881,0.00097,0.00083,0.00167,0.00088,0.00301,0.00109,0,0,0,0,0
1.50,0.19411,1.48459,0.00248,0.01324,0.00079,0.00059,0.00191,0.00115,0.01612,0.00277,0,0,0,1,0
1.51,0.19387,1.48387,0.00199,0.01275,0.00076,0.00055,0.00158,0.00116,0.00172,0.00403,0,0,0,0,0
1.52,0.19437,1.48544,0.00196,0.01301,0.00074,0.00058,0.00113,0.00194,0.00263,0.00294,0,0,0,0,0
1.53,0.19484,1.48261,0.00201,0.00904,0.00073,0.00059,0.00128,0.00209,0.00405,0.00219,0,0,0,0,0
1.54,0.19464,1.48481,0.00205,0.00833,0.00079,0.00053,0.00114,0.00152,0.00339,0.00203,0,0,0,0,0
1.55,0.19458,1.48409,0.00353,0.00961,0.00075,0.00054,0.00077,0.00180,0.00381,0.00155,0,0,0,0,0
1.56,0.19428,1.48461,0.00459,0.01060,0.00070,0.00053,0.00101,0.00189,0.00305,0.00104,0,0,0,0,0
1.57,0.19420,1.48282,0.00495,0.01108,0.00071,0.00054,0.00092,0.00155,0.00372,0.00081,0,0,0,0,0
1.58,0.19478,1.48442,0.00682,0.01000,0.00072,0.00062,0.00062,0.00121,0.00250,0.00089,0,0,0,0,0
1.59,0.19507,1.48392,0.00798,0.00994,0.00086,0.00074,0.00055,0.00111,0.00403,0.00102,0,0,0,0,0
