"Time","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","12 Synch","42 Ramp up","43 Ramp down","44 sw onset","45 sw offset"
1.21,0.19809,-1.48053,0.00075,0.00077,0.00100,0.00082,0.00146,0.00087,0.00201,0.00129,0,0,0,0,0
1.22,0.19878,-1.48004,0.00094,0.00104,0.00082,0.00077,0.00135,0.00090,0.00536,0.00124,0,0,0,0,0
1.23,0.19861,-1.47720,0.00070,0.00090,0.00075,0.00065,0.00106,0.00071,0.00258,0.00099,0,0,0,0,0
1.24,0.19807,-1.47953,0.00073,0.00277,0.00069,0.00060,0.00082,0.00061,0.00320,0.00106,0,0,0,0,0
1.25,0.19742,-1.48856,0.00405,0.01324,0.00072,0.00067,0.00079,0.00060,0.00265,0.00181,0,0,0,0,0
1.26,0.19672,-1.47960,0.00679,0.01507,0.00071,0.00068,0.00117,0.00114,0.00154,0.00327,0,0,0,0,0
1.27,0.19698,-1.47939,0.00442,0.01232,0.00076,0.00090,0.00127,0.00212,0.00131,0.00398,0,0,0,1,0
1.28,0.19777,-1.47877,0.00501,0.01394,0.00084,0.00091,0.00091,0.00312,0.00867,0.00315,0,0,0,0,0
1.29,0.19839,-1.47966,0.00593,0.01309,0.00071,0.00062,0.00075,0.00274,0.00338,0.00196,0,0,0,0,0
1.30,0.19809,-1.47989,0.00596,0.01753,0.00067,0.00062,0.00066,0.00189,-0.00085,0.00141,0,0,0,0,0
1.31,0.19810,-1.47845,0.00940,0.01646,0.00075,0.00076,0.00059,0.00144,0.00358,0.00147,0,0,0,0,0
1.32,0.19759,-1.47845,0.00622,0.01197,0.00083,0.00082,0.00053,0.00076,0.00082,0.00150,0,0,0,0,0
1.33,0.19717,-1.48010,0.00089,0.00697,0.00084,0.00079,0.00056,0.00071,0.00336,0.00126,0,0,0,0,0
1.34,0.19682,-1.48020,0.00057,0.00250,0.00088,0.00081,0.00072,0.00094,0.00379,0.00094,0,0,0,0,1
1.35,0.19614,-1.47855,0.00054,0.00206,0.00096,0.00086,0.00116,0.00125,0.00432,0.00122,0,0,0,0,0
1.36,0.19644,-1.47814,0.00060,0.00118,0.00129,0.00135,0.00129,0.00123,0.00357,0.00131,0,0,0,0,0
1.37,0.19678,-1.47901,0.00062,0.00102,0.00139,0.00159,0.00110,0.00093,0.00298,0.00124,0,0,0,0,0
1.38,0.19691,-1.47852,0.00059,0.00108,0.00098,0.00124,0.00148,0.00079,0.00369,0.00127,0,0,0,0,0
1.39,0.19702,-1.47869,0.00058,0.00133,0.00092,0.00119,0.00230,0.00072,0.00549,0.00130,0,0,0,0,0
1.40,0.19740,-1.48058,0.00057,0.00182,0.00260,0.00137,0.00194,0.00070,0.00308,0.00140,0,0,0,0,0
1.41,0.19719,-1.48063,0.00052,0.00190,0.00342,0.00137,0.00113,0.00078,0.00370,0.00129,0,0,0,0,0
1.42,0.19716,-1.47944,0.00057,0.00163,0.00201,0.00120,0.00091,0.00072,0.00266,0.00102,0,0,0,0,0
1.43,0.19711,-1.47861,0.00066,0.00145,0.00117,0.00110,0.00064,0.00065,0.00543,0.00093,0,0,0,0,0
1.44,0.19743,-1.47961,0.00239,0.00714,0.00085,0.00088,0.00181,0.00194,0.00340,0.00245,0,0,0,1,0
1.45,0.19713,-1.47903,0.00435,0.01319,0.00068,0.00058,0.00216,0.00355,0.00351,0.00403,0,0,0,0,0
1.46,0.19603,-1.47992,0.00517,0.01428,0.00069,0.00052,0.00137,0.00370,-0.00233,0.00381,0,0,0,0,0
1.47,0.19597,-1.48287,0.00613,0.01719,0.00067,0.00058,0.00105,0.00354,0.00215,0.00326,0,0,0,0,0
1.48,0.19630,-1.47946,0.00509,0.01362,0.00069,0.00060,0.00078,0.00330,0.00341,0.00202,0,0,0,0,0
1.49,0.19646,-1.47899,0.00299,0.00824,0.00071,0.00057,0.00086,0.00232,0.00341,0.00127,0,0,0,0,0
1.50,0.19614,-1.47913,0.00240,0.01139,0.00068,0.00057,0.00075,0.00156,0.00402,0.00125,0,0,0,0,0
