"Time","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","12 Synch","42 Ramp up","43 Ramp down","44 sw onset","45 sw offset"
1.46,0.09675,-1.48332,0.00551,0.01469,0.00066,0.00055,0.00052,0.00172,0.00305,0.00110,0,0,0,0,0
1.47,0.09562,-1.48085,0.00442,0.01670,0.00072,0.00059,0.00053,0.00143,0.00320,0.00121,0,0,0,0,0
1.48,0.09583,-1.48024,0.00328,0.00910,0.00081,0.00073,0.00054,0.00098,0.00336,0.00094,0,0,0,0,0
1.49,0.09693,-1.47971,0.00102,0.00364,0.00081,0.00073,0.00063,0.00081,0.00458,0.00108,0,0,0,0,0
1.50,0.09709,-1.47940,0.00058,0.00383,0.00074,0.00068,0.00071,0.00108,0.00275,0.00110,0,0,0,0,0
1.51,0.09639,-1.48041,0.00059,0.00252,0.00072,0.00074,0.00086,0.00127,0.00427,0.00110,0,0,0,0,1
1.52,0.09594,-1.47836,0.00056,0.00112,0.00076,0.00072,0.00105,0.00111,0.00427,0.00194,0,0,0,0,0
1.53,0.09562,-1.47929,0.00056,0.00124,0.00088,0.00081,0.00105,0.00106,0.00290,0.00183,0,0,0,0,0
1.54,0.09620,-1.48016,0.00059,0.00115,0.00108,0.00114,0.00104,0.00143,0.00259,0.00107,0,0,0,0,0
1.55,0.09623,-1.48016,0.00059,0.00084,0.00098,0.00098,0.00111,0.00158,0.00153,0.00148,0,0,0,0,0
1.56,0.09552,-1.47891,0.00058,0.00080,0.00080,0.00062,0.00112,0.00134,0.00412,0.00263,0,0,0,0,0
1.57,0.09462,-1.47975,0.00054,0.00077,0.00079,0.00055,0.00111,0.00117,0.00320,0.00327,0,0,0,0,0
1.58,0.09437,-1.48053,0.00053,0.00070,0.00073,0.00054,0.00126,0.00116,0.00259,0.00326,0,0,0,0,0
1.59,0.09475,-1.47839,0.00058,0.00078,0.00064,0.00050,0.00142,0.00112,0.00290,0.00314,0,0,0,0,0
1.60,0.09578,-1.47987,0.00060,0.00075,0.00060,0.00050,0.00152,0.00117,0.00336,0.00275,0,0,0,0,0
1.61,0.09664,-1.48056,0.00056,0.00065,0.00061,0.00053,0.00161,0.00110,0.00275,0.00239,0,0,0,0,0
1.62,0.09735,-1.48065,0.00057,0.00063,0.00068,0.00054,0.00203,0.00100,0.00046,0.00240,0,0,0,0,0
1.63,0.09798,-1.47945,0.00057,0.00058,0.00071,0.00049,0.00219,0.00100,0.00427,0.00328,0,0,0,0,0
1.64,0.09725,-1.47960,0.00058,0.00054,0.00066,0.00056,0.00197,0.00091,0.00320,0.00360,0,0,0,0,0
1.65,0.09784,-1.47980,0.00060,0.00057,0.00070,0.00064,0.00201,0.00083,0.00137,0.00336,0,0,0,0,0
1.66,0.09798,-1.48041,0.00060,0.00062,0.00069,0.00057,0.00169,0.00072,0.00595,0.00289,0,0,0,0,0
1.67,0.09807,-1.47800,0.00074,0.00074,0.00068,0.00056,0.00143,0.00067,0.00259,0.00159,0,0,0,0,0
1.68,0.09775,-1.48129,0.00075,0.00072,0.00073,0.00056,0.00162,0.00072,0.00412,0.00117,0,0,0,0,0
1.69,0.09751,-1.47932,0.00061,0.00065,0.00073,0.00057,0.00141,0.00069,0.00473,0.00103,0,0,0,0,0
1.70,0.09847,-1.48061,0.00071,0.00129,0.00069,0.00062,0.00104,0.00057,0.00412,0.00095,0,0,0,0,0
1.71,0.09935,-1.48044,0.00146,0.00485,0.00070,0.00062,0.00082,0.00058,0.00198,0.00100,0,0,0,0,0
1.72,0.09890,-1.48016,0.00280,0.01167,0.00076,0.00061,0.00137,0.00072,0.00153,0.00212,0,0,0,1,0
1.73,0.09845,-1.47713,0.00358,0.01285,0.00072,0.00057,0.00169,0.00136,-0.00092,0.00336,0,0,0,0,0
1.74,0.09738,-1.47900,0.00324,0.00938,0.00069,0.00052,0.00209,0.00179,0.00061,0.00292,0,0,0,0,0
1.75,0.09699,-1.48135,0.00224,0.01129,0.00066,0.00060,0.00190,0.00161,0.00366,0.00228,0,0,0,0,0
1.76,0.09752,-1.47940,0.00235,0.01275,0.00060,0.00059,0.00089,0.00153,0.00137,0.00208,0,0,0,0,0
1.77,0.09730,-1.47992,0.00223,0.01148,0.00062,0.00051,0.00070,0.00169,0.00412,0.00158,0,0,0,0,0
1.78,0.09732,-1.48163,0.00135,0.01090,0.00068,0.00045,0.00053,0.00168,0.00320,0.00144,0,0,0,0,0
1.79,0.09761,-1.48143,0.00191,0.00975,0.00070,0.00046,0.00070,0.00142,0.00381,0.00128,0,0,0,0,0
1.80,0.09671,-1.48082,0.00306,0.01030,0.00069,0.00052,0.00069,0.00123,0.00397,0.00099,0,0,0,0,0
1.81,0.09616,-1.47937,0.00306,0.00930,0.00074,0.00054,0.00054,0.00102,0.00320,0.00126,0,0,0,0,0
1.82,0.09626,-1.47856,0.00273,0.00592,0.00080,0.00062,0.00056,0.00076,0.00244,0.00127,0,0,0,0,0
1.83,0.09661,-1.47984,0.00197,0.00284,0.00088,0.00070,0.00055,0.00070,0.00473,0.00131,0,0,0,0,0
1.84,0.09646,-1.48006,0.00079,0.00271,0.00089,0.00070,0.00080,0.00083,0.00381,0.00138,0,0,0,0,0
1.85,0.09603,-1.48119,0.00075,0.00303,0.00073,0.00070,0.00085,0.00114,0.00351,0.00117,0,0,0,0,1
1.86,0.09558,-1.47816,0.00069,0.00181,0.00081,0.00083,0.00074,0.00132,0.00443,0.00086,0,0,0,0,0
1.87,0.09540,-1.48096,0.00052,0.00134,0.00098,0.00097,0.00073,0.00108,0.00412,0.00074,0,0,0,0,0
1.88,0.09516,-1.47925,0.00060,0.00159,0.00106,0.00111,0.00080,0.00096,0.00443,0.00085,0,0,0,0,0
1.89,0.09542,-1.48004,0.00066,0.00135,0.00093,0.00090,0.00108,0.00106,0.00336,0.00104,0,0,0,0,0
1.90,0.09539,-1.48415,0.00064,0.00079,0.00073,0.00057,0.00099,0.00113,0.00183,0.00140,0,0,0,0,0
1.91,0.09561,-1.48007,0.00056,0.00122,0.00071,0.00057,0.00133,0.00103,0.00488,0.00127,0,0,0,0,0
1.92,0.09648,-1.47916,0.00054,0.00118,0.00072,0.00055,0.00134,0.00088,0.00397,0.00139,0,0,0,0,0
1.93,0.09704,-1.47847,0.00054,0.00115,0.00070,0.00051,0.00119,0.00077,0.00275,0.00197,0,0,0,0,0
1.94,0.09656,-1.47966,0.00056,0.00128,0.00067,0.00053,0.00176,0.00073,0.00412,0.00242,0,0,0,0,0
1.95,0.09721,-1.48047,0.00056,0.00132,0.00070,0.00058,0.00170,0.00077,0.00473,0.00208,0,0,0,0,0
1.96,0.09875,-1.47983,0.00058,0.00114,0.00069,0.00056,0.00117,0.00070,0.00397,0.00306,0,0,0,0,0
1.97,0.10003,-1.48032,0.00059,0.00106,0.00065,0.00051,0.00113,0.00060,0.00198,0.00373,0,0,0,0,0
1.98,0.10001,-1.47815,0.00055,0.00109,0.00069,0.00053,0.00137,0.00064,0.00214,0.00226,0,0,0,0,0
1.99,0.09896,-1.48058,0.00053,0.00071,0.00069,0.00060,0.00127,0.00062,0.00381,0.00189,0,0,0,0,0
2.00,0.09882,-1.47900,0.00062,0.00072,0.00069,0.00061,0.00138,0.00061,0.00488,0.00219,0,0,0,0,0
2.01,0.09893,-1.47998,0.00063,0.00073,0.00072,0.00056,0.00155,0.00065,0.00427,0.00229,0,0,0,0,0
2.02,0.09940,-1.48045,0.00060,0.00076,0.00072,0.00059,0.00150,0.00069,0.00320,0.00212,0,0,0,0,0
2.03,0.09995,-1.48126,0.00058,0.00085,0.00072,0.00060,0.00151,0.00070,0.00320,0.00186,0,0,0,0,0
2.04,0.09920,-1.47906,0.00056,0.00099,0.00077,0.00062,0.00177,0.00075,0.00305,0.00161,0,0,0,0,0
2.05,0.09901,-1.47978,0.00057,0.00100,0.00078,0.00095,0.00196,0.00080,0.00656,0.00150,0,0,0,0,0
2.06,0.09903,-1.47966,0.00055,0.00083,0.00068,0.00110,0.00192,0.00084,0.00381,0.00124,0,0,0,0,0
2.07,0.09855,-1.48026,0.00053,0.00094,0.00072,0.00109,0.00227,0.00085,0.00183,0.00107,0,0,0,0,0
2.08,0.09921,-1.48032,0.00058,0.00102,0.00077,0.00090,0.00240,0.00088,0.00366,0.00115,0,0,0,0,0
2.09,0.09856,-1.47989,0.00064,0.00077,0.00074,0.00078,0.00188,0.00086,0.00259,0.00126,0,0,0,0,0
