"Time","25 toey (cm)","17 Hipy (cm)"
0.555,8.876848,10.412460
0.556,8.877783,10.417766
0.557,8.878716,10.423071
0.558,8.879651,10.428377
0.559,8.880557,10.433600
0.560,8.881445,10.438771
0.561,8.882334,10.443943
0.562,8.883222,10.449115
0.563,8.884088,10.454323
0.564,8.884938,10.459554
0.565,8.885789,10.464785
0.566,8.886640,10.470016
0.567,8.887394,10.475245
0.568,8.888088,10.480474
0.569,8.888783,10.485701
0.570,8.889477,10.490929
0.571,8.890105,10.496133
0.572,8.890692,10.501323
0.573,8.891278,10.506513
0.574,8.891865,10.511703
0.575,8.892355,10.516772
0.576,8.892786,10.521766
0.577,8.893216,10.526759
0.578,8.893647,10.531753
0.579,8.893929,10.536448
0.580,8.894116,10.540956
0.581,8.894304,10.545465
0.582,8.894492,10.549973
0.583,8.894553,10.554238
0.584,8.894534,10.558350
0.585,8.894515,10.562462
0.586,8.894497,10.566573
0.587,8.894300,10.570453
0.588,8.893991,10.574185
0.589,8.893682,10.577919
0.590,8.893373,10.581652
0.591,8.892986,10.585304
0.592,8.892551,10.588905
0.593,8.892118,10.592507
0.594,8.891683,10.596108
0.595,8.891139,10.599551
0.596,8.890528,10.602894
0.597,8.889916,10.606236
0.598,8.889305,10.609579
0.599,8.888561,10.612815
0.600,8.887736,10.615984
0.601,8.886910,10.619153
0.602,8.886085,10.622321
0.603,8.885221,10.625522
0.604,8.884336,10.628740
0.605,8.883449,10.631960
0.606,8.882563,10.635179
0.607,8.881578,10.638373
0.608,8.880533,10.641553
0.609,8.879489,10.644733
0.610,8.878444,10.647913
0.611,8.877346,10.651252
0.612,8.876215,10.654690
0.613,8.875084,10.658129
0.614,8.873954,10.661567
0.615,8.872767,10.665141
0.616,8.871547,10.668801
0.617,8.870326,10.672462
0.618,8.869105,10.676122
0.619,8.867858,10.679722
0.620,8.866593,10.683285
0.621,8.865329,10.686848
0.622,8.864064,10.690411
0.623,8.862782,10.693948
0.624,8.861488,10.697470
0.625,8.860195,10.700991
0.626,8.858902,10.704513
0.627,8.857943,10.707955
0.628,8.857194,10.711350
0.629,8.856446,10.714745
0.630,8.855698,10.718139
0.631,8.856425,10.721273
0.632,8.858081,10.724244
0.633,8.859735,10.727215
0.634,8.861391,10.730186
0.635,8.865395,10.732884
0.636,8.870874,10.735412
0.637,8.876353,10.737940
0.638,8.881833,10.740468
0.639,8.887478,10.742624
0.640,8.893226,10.744548
0.641,8.898974,10.746470
0.642,8.904722,10.748394
0.643,8.910488,10.749876
0.644,8.916265,10.751081
0.645,8.922041,10.752286
0.646,8.927817,10.753490
0.647,8.933139,10.754222
0.648,8.938173,10.754656
0.649,8.943209,10.755089
0.650,8.948243,10.755523
0.651,8.951140,10.755338
0.652,8.952693,10.754765
0.653,8.954246,10.754190
0.654,8.955798,10.753617
0.655,8.957138,10.752508
0.656,8.958344,10.751062
0.657,8.959549,10.749617
0.658,8.960754,10.748171
0.659,8.961055,10.746161
0.660,8.960786,10.743797
0.661,8.960517,10.741434
0.662,8.960248,10.739070
0.663,8.959373,10.736190
0.664,8.958118,10.732985
0.665,8.956864,10.729780
0.666,8.955609,10.726575
0.667,8.954173,10.723036
0.668,8.952622,10.719285
0.669,8.951073,10.715535
0.670,8.949522,10.711785
0.671,8.947912,10.707656
0.672,8.946264,10.703287
0.673,8.944615,10.698919
0.674,8.942967,10.694551
0.675,8.941264,10.689917
0.676,8.939526,10.685115
0.677,8.937788,10.680314
0.678,8.936049,10.675512
0.679,8.934171,10.670589
0.680,8.932202,10.665588
0.681,8.930234,10.660588
0.682,8.928267,10.655588
0.683,8.926200,10.650443
0.684,8.924071,10.645207
0.685,8.921943,10.639971
0.686,8.919814,10.634735
0.687,8.917412,10.629411
0.688,8.914836,10.624030
0.689,8.912260,10.618649
0.690,8.909684,10.613270
0.691,8.905663,10.607895
0.692,8.900734,10.602525
0.693,8.895805,10.597154
0.694,8.890877,10.591784
0.695,8.883560,10.586397
0.696,8.874743,10.581002
0.697,8.865927,10.575607
0.698,8.857110,10.570212
0.699,8.848039,10.564821
0.700,8.838807,10.559432
0.701,8.829576,10.554044
0.702,8.820344,10.548655
0.703,8.811112,10.543386
0.704,8.801880,10.538195
0.705,8.792648,10.533002
0.706,8.783416,10.527810
0.707,8.774547,10.522717
0.708,8.765905,10.517685
0.709,8.757264,10.512654
0.710,8.748623,10.507623
0.711,8.741961,10.502824
0.712,8.736544,10.498170
0.713,8.731127,10.493516
0.714,8.725709,10.488863
