"Time","v3 L COP","v2 R COP","49 RDS cle","47 R marks","39 FRx (cm)","35 HRx (cm)","v1 xCoM","42 CoMy (cm)","50 LDS cle","48 L marks","37 FLx (cm)","33 HLx (cm)","3 Platform"
0.081,0.000000,0.000000,0,0,16.617653,13.031952,5.564964,5.611680,1,0,16.243870,12.651714,-0.00016
0.082,0.000000,0.000000,0,0,16.608215,13.063808,5.560642,5.610325,1,0,16.294283,12.642192,0.00000
0.083,0.000000,0.000000,0,0,16.598778,13.095665,5.556342,5.608972,1,0,16.344694,12.632669,0.00015
0.084,0.000000,0.000000,0,0,16.589369,13.127645,5.552123,5.607585,1,0,16.393362,12.623236,-0.00007
0.085,0.000000,0.000000,0,0,16.580050,13.160017,5.548059,5.606097,1,0,16.436563,12.614082,-0.00008
0.086,0.000000,0.000000,0,0,16.570730,13.192388,5.544001,5.604609,1,0,16.479763,12.604929,0.00008
0.087,0.000000,0.000000,0,0,16.561411,13.224759,5.539958,5.603120,1,0,16.522964,12.595776,0.00000
0.088,0.000000,0.000000,0,0,16.552172,13.257122,5.535843,5.601517,1,0,16.565935,12.586641,0.00008
0.089,0.000000,0.000000,0,0,16.543192,13.289460,5.531592,5.599557,1,0,16.608187,12.577563,0.00023
0.090,0.000000,0.000000,0,0,16.534210,13.321799,5.527369,5.597596,1,0,16.650438,12.568486,0.00000
0.091,0.000000,0.000000,0,0,16.525229,13.354137,5.523194,5.595636,1,0,16.692692,12.559409,-0.00023
0.092,0.000000,0.000000,0,0,16.516268,13.386590,5.519173,5.593710,1,0,16.734476,12.550309,0.00015
0.093,0.000000,0.000000,0,0,16.507372,13.419401,5.515437,5.591896,1,0,16.774796,12.541141,0.00007
0.094,0.000000,0.000000,0,0,16.498476,13.452211,5.511863,5.590082,1,0,16.815117,12.531972,0.00008
0.095,0.000000,0.000000,0,0,16.489580,13.485023,5.508593,5.588267,1,0,16.855436,12.522803,0.00023
0.096,0.000000,0.000000,0,0,16.480862,13.517915,5.505448,5.586419,1,0,16.895075,12.513618,0.00008
0.097,0.000000,0.000000,0,0,16.472692,13.551063,5.502536,5.584465,1,0,16.932573,12.504387,-0.00007
0.098,0.000000,0.000000,0,0,16.464525,13.584209,5.499655,5.582511,1,0,16.970072,12.495154,0.00007
0.099,0.000000,0.000000,0,0,16.456358,13.617357,5.496830,5.580558,1,0,17.007572,12.485922,0.00024
0.100,0.000000,0.000000,0,0,16.448467,13.650489,5.493967,5.578619,1,0,17.044188,12.476748,-0.00007
0.101,0.000000,0.000000,0,0,16.441448,13.683574,5.491030,5.576726,1,0,17.078039,12.467760,0.00007
0.102,0.000000,0.000000,0,0,16.434427,13.716658,5.488173,5.574833,1,0,17.111893,12.458772,0.00007
0.103,0.000000,0.000000,0,0,16.427408,13.749743,5.485467,5.572941,1,0,17.145744,12.449783,-0.00015
0.104,0.000000,0.000000,0,0,16.420679,13.782788,5.482950,5.571132,1,0,17.178694,12.440874,0.00000
0.105,0.000000,0.000000,0,0,16.414865,13.815714,5.480787,5.569587,1,0,17.208818,12.432213,-0.00007
0.106,0.000000,0.000000,0,0,16.409052,13.848639,5.478608,5.568041,1,0,17.238945,12.423552,-0.00008
0.107,0.000000,0.000000,0,0,16.403238,13.881565,5.476396,5.566496,1,0,17.269070,12.414889,-0.00008
0.108,0.000000,0.000000,0,0,16.398018,13.914436,5.473939,5.564828,1,0,17.298344,12.406287,0.00009
0.109,0.000000,0.000000,0,0,16.394661,13.947136,5.471025,5.562780,1,0,17.324949,12.397869,0.00007
0.110,0.000000,0.000000,0,0,16.391304,13.979836,5.467975,5.560731,1,0,17.351557,12.389450,0.00001
0.111,0.000000,0.000000,0,0,16.387945,14.012536,5.464666,5.558683,1,0,17.378162,12.381032,0.00000
0.112,0.000000,0.000000,0,0,16.385622,14.045155,5.461396,5.556604,1,0,17.403748,12.372690,0.00015
0.113,0.000000,0.000000,0,0,16.386541,14.077521,5.458195,5.554434,1,0,17.426136,12.364590,-0.00015
0.114,0.000000,0.000000,0,0,16.387459,14.109887,5.455063,5.552263,1,0,17.448523,12.356489,-0.00015
0.115,0.000000,0.000000,0,0,16.388376,14.142254,5.452060,5.550092,1,0,17.470911,12.348389,0.00000
0.116,0.000000,0.000000,0,0,16.390806,14.174555,5.449134,5.547841,1,0,17.492468,12.340408,0.00000
0.117,0.000000,0.000000,0,0,16.397966,14.206654,5.446351,5.545339,1,0,17.511427,12.332803,-0.00016
0.118,0.000000,0.000000,0,0,16.405128,14.238751,5.443733,5.542836,1,0,17.530384,12.325196,-0.00008
0.119,0.000000,0.000000,0,0,16.412289,14.270850,5.441425,5.540334,1,0,17.549343,12.317591,0.00007
0.120,0.000000,0.000000,0,0,16.421104,14.302866,5.439381,5.537941,1,0,17.567364,12.310326,-0.00001
0.121,0.000000,0.000000,0,0,16.435101,14.334622,5.437832,5.535890,1,0,17.582445,12.304129,0.00000
0.122,0.000000,0.000000,0,0,16.449099,14.366380,5.436582,5.533840,1,0,17.597527,12.297932,0.00000
0.123,0.000000,0.000000,0,0,16.463095,14.398137,5.435888,5.531789,1,0,17.612608,12.291735,0.00001
