"Time"	"45 sw offset"	"44 sw onset"	"11 Gr"	"10 Gs"	"9 TA"	"8 St"	"7 VL"	"6 BF"	"5 Ip"	"4 GM"
1.87	0	0	0.00094	0.00111	0.00069	0.00119	0.00131	0.00094	0.00159	0.00054
1.88	0	0	0.00114	0.00043	0.00052	0.00062	0.00045	0.00080	0.00419	0.00378
1.89	0	1	0.00218	0.00256	0.00089	0.00272	0.00059	0.00066	0.02535	0.01020
1.90	0	0	0.00672	0.00573	0.00229	0.00113	0.00062	0.00069	0.01673	0.00275
1.91	0	0	0.00696	0.00368	0.00572	0.00087	0.00059	0.00061	0.00367	0.00055
1.92	0	0	0.00055	0.00071	0.00238	0.00055	0.00067	0.00069	0.00636	0.00259
1.93	0	0	0.00105	0.00074	0.00059	0.00068	0.00049	0.00057	0.00936	0.00110
1.94	0	0	0.00099	0.00047	0.00123	0.00052	0.00062	0.00081	0.02365	0.00640
1.95	0	0	0.00052	0.00209	0.00078	0.00044	0.00095	0.00081	0.01060	0.00222
1.96	0	0	0.00120	0.00082	0.00078	0.00049	0.00114	0.00089	0.00126	0.00598
1.97	0	0	0.00077	0.00080	0.00059	0.00053	0.00065	0.00080	0.00144	0.00049
1.98	0	0	0.00097	0.00105	0.00072	0.00059	0.00066	0.00084	0.00098	0.00076
1.99	1	0	0.00089	0.00147	0.00211	0.00109	0.00083	0.00125	0.00121	0.00111
2.00	0	0	0.00202	0.00110	0.00208	0.00148	0.00070	0.00072	0.00120	0.00094
2.01	0	0	0.00101	0.00105	0.00106	0.00065	0.00125	0.00094	0.00131	0.00071
2.02	0	0	0.00145	0.00096	0.00094	0.00072	0.00077	0.00078	0.00151	0.00050
2.03	0	0	0.00317	0.00130	0.00074	0.00329	0.00047	0.00056	0.00086	0.00069
2.04	0	0	0.00075	0.00142	0.00058	0.00118	0.00083	0.00066	0.00258	0.00045
2.05	0	0	0.00352	0.00077	0.00066	0.00107	0.00061	0.00059	0.00056	0.00059
2.06	0	0	0.00591	0.00198	0.00080	0.00386	0.00045	0.00094	0.00070	0.00063
2.07	0	0	0.00156	0.00173	0.00076	0.00176	0.00066	0.00074	0.00067	0.00046
2.08	0	0	0.00574	0.00146	0.00087	0.00354	0.00061	0.00070	0.00078	0.00048
2.09	0	0	0.00511	0.00146	0.00071	0.00093	0.00063	0.00056	0.00056	0.00046
2.10	0	0	0.00199	0.00137	0.00070	0.00254	0.00062	0.00085	0.00077	0.00052
2.11	0	0	0.00198	0.00182	0.00084	0.00207	0.00049	0.00102	0.00070	0.00059
2.12	0	0	0.00090	0.00101	0.00070	0.00126	0.00053	0.00080	0.00113	0.00078
2.13	0	0	0.00477	0.00255	0.00094	0.01278	0.00343	0.01330	0.00111	0.00111
2.14	0	0	0.00206	0.00287	0.00128	0.00434	0.00060	0.01382	0.00084	0.00067
2.15	0	0	0.00096	0.00176	0.00236	0.00293	0.00119	0.00111	0.00069	0.00057
2.16	0	0	0.00070	0.00096	0.00138	0.00153	0.00074	0.00085	0.00154	0.00603
2.17	0	0	0.00101	0.00187	0.00102	0.00047	0.00055	0.00145	0.00145	0.00083
2.18	0	1	0.00128	0.00293	0.00105	0.00144	0.00069	0.00057	0.03776	0.00665
2.19	0	0	0.00363	0.00109	0.00114	0.00074	0.00087	0.00069	0.01073	0.00068
2.20	0	0	0.00179	0.00072	0.00433	0.00122	0.00085	0.00055	0.02689	0.00548
2.21	0	0	0.00215	0.00055	0.00159	0.00163	0.00055	0.00079	0.00348	0.00046
2.22	0	0	0.00132	0.00077	0.00079	0.00046	0.00059	0.00068	0.01448	0.00159
2.23	0	0	0.00088	0.00044	0.00110	0.00048	0.00063	0.00064	0.01184	0.00274
2.24	0	0	0.00106	0.00050	0.00087	0.00064	0.00064	0.00062	0.00262	0.00527
2.25	0	0	0.00101	0.00058	0.00154	0.00045	0.00079	0.00099	0.01138	0.00314
2.26	0	0	0.00076	0.00067	0.00062	0.00046	0.00092	0.00072	0.00115	0.00628
2.27	0	0	0.00161	0.00132	0.00093	0.00080	0.00108	0.00159	0.00105	0.00057
2.28	1	0	0.00160	0.00627	0.00217	0.00100	0.00089	0.00169	0.00155	0.00074
2.29	0	0	0.00221	0.00093	0.00189	0.00049	0.00086	0.00068	0.00128	0.00099
2.30	0	0	0.00169	0.00059	0.00189	0.00065	0.00156	0.00072	0.00318	0.00062
2.31	0	0	0.00113	0.00077	0.00374	0.00113	0.00115	0.00102	0.00077	0.00052
2.32	0	0	0.00218	0.00168	0.00084	0.00218	0.00059	0.00069	0.00124	0.00059
2.33	0	0	0.00097	0.00128	0.00078	0.00073	0.00098	0.00106	0.00156	0.00078
2.34	0	0	0.00142	0.00118	0.00098	0.00216	0.00046	0.00087	0.00214	0.00078
2.35	0	0	0.00307	0.00075	0.00075	0.00113	0.00065	0.00144	0.00065	0.00061
2.36	0	0	0.00058	0.00094	0.00053	0.00152	0.00063	0.00082	0.00066	0.00059
2.37	0	0	0.00050	0.00082	0.00078	0.00160	0.00064	0.00138	0.00061	0.00033
2.38	0	0	0.00502	0.00138	0.00059	0.00085	0.00068	0.00057	0.00058	0.00060
2.39	0	0	0.00074	0.00106	0.00068	0.00133	0.00049	0.00075	0.00058	0.00051
2.40	0	0	0.00077	0.00140	0.00051	0.00101	0.00074	0.00066	0.00049	0.00058
2.41	0	0	0.00490	0.00222	0.00084	0.00244	0.00052	0.00073	0.00072	0.00052
2.42	0	0	0.00107	0.00090	0.00074	0.00177	0.00037	0.00078	0.00055	0.00030
2.43	0	0	0.00078	0.00149	0.00080	0.00112	0.00058	0.00066	0.00070	0.00047
2.44	0	0	0.00166	0.00087	0.00084	0.00064	0.00057	0.00070	0.00081	0.00044
2.45	0	0	0.00333	0.00161	0.00058	0.00066	0.00069	0.00066	0.02277	0.00337
2.46	0	1	0.00245	0.00668	0.00205	0.00281	0.00045	0.00075	0.03802	0.00750
